,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"feed_gas molar flow, kgmol/h",feed_gas molecular weight,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"lean_amine molar flow, kgmol/h",lean_amine molecular weight,"rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h",sweet_gas molecular weight
173881,57.0,100480.0,0.0241383719975572,0.6262468619066718,0.1147487732856763,0.0593230856449684,0.0854231857298174,0.040426745888493,0.0155848696099099,0.0065288483868534,0.026931116447086,0.0006481411029663,0.0,3719.370346319499,27.01532534920324,49.0,431629.0,0.0037976695827454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003519063984787,0.9596187904781232,0.0362316335406524,19813.649267915363,21.78442719781789,54.93353198069673,438963.05419830896,21.936371653475994,20010.741116740322,26.44479869151381
222992,47.0,222745.0,0.0167527172552121,0.5536816335467897,0.1442823039434919,0.0709242714152506,0.0678910761719492,0.0777551367508247,0.0294499651098338,0.0013888987425879,0.0370963076480944,0.0007776894159653,0.0,7666.400661810206,29.05470374247372,38.0,552447.0,0.003621888751425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000217678846815,0.832049772771045,0.1641106596307149,15914.943354981184,34.71247039199111,52.380411886736,568316.4287268684,34.75325993843028,16352.89551926097,28.619636889411403
363753,10.0,70539.0,0.0356409385727478,0.6733452412176593,0.0228878217088178,0.0978490652981829,0.075991335226456,0.0541427579451495,0.0320010963917451,0.0023946342842716,0.0047935770184127,0.000953532336557,0.0,2555.765654834425,27.59994832334104,33.0,207562.0,0.0027116552368187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003067933652756,0.8990424997838815,0.0979390516140241,7413.700786217464,27.99708350596922,27.027218733254983,211035.74766362304,28.127957941397224,7502.704181487413,27.18756218859046
286660,14.0,122851.0,0.0114477173026561,0.6255648149383517,0.1417566395294325,0.0857882901144535,0.0629764322997909,0.0218185189003251,0.006990077901323,0.0029804852632533,0.0391097640644197,0.0015672596859936,0.0,4799.944773804442,25.59425280691889,57.0,191227.0,0.0015481929803968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001211996634324,0.8856251682347821,0.1127054391213886,6491.633297903617,29.457455654766285,40.78243918698109,200000.97730456336,29.69259879361553,6735.718173229328,25.03962484305732
153018,50.0,93445.0,0.0159785877139599,0.7692195353361886,0.0285680639876071,0.050077848514967,0.0928814297887894,0.007695768576764,0.0271042747005919,0.0038878309168138,0.0033894443853797,0.0011972160789382,0.0,3840.7357525157486,24.32997373974294,10.0,366257.0,0.0025931687169171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002742990456045,0.9111605130626496,0.0859720191748287,13674.962889493396,26.783034291186176,21.82054638530832,369118.7844292213,26.82665126940656,13759.405925187868,24.11505769109296
480086,52.0,69138.0,0.0211608626666994,0.6490717221271892,0.1502920153792595,0.0310223106998589,0.0283993415870551,0.0738791484626262,0.0257006815966731,0.0088140178510517,0.0108701072242975,0.000789792405289,0.0,2653.936739825293,26.051110775365093,52.0,413503.0,0.0025583476716904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002549856900053,0.8430964183551919,0.1540902482831122,12280.367820303241,33.67187416946517,54.30216026425995,417429.9198523379,33.70199581441463,12385.91097545029,25.5890928857034
300631,49.0,133821.0,0.0365186421238395,0.6479479186410715,0.1389958288425611,0.079691104060618,0.0652126322332105,0.002752302006661,0.0223423658849873,0.0043396916264881,0.0014750724179234,0.000724442162639,0.0,5220.34732695707,25.63450123499809,30.0,216941.0,0.0010239727013796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002607116027225,0.8656873460800256,0.1330279696158722,6886.652224540278,31.501663352033432,52.396176771873,225139.8117589492,31.79592528910554,7080.775593471733,24.99335272167165
276113,10.0,246809.0,0.0262390713291011,0.8004160967350864,0.017398490426395,0.0086558330297247,0.0097605548940438,0.0568872203159573,0.040235130357758,0.0084009628905067,0.0303199351798767,0.0016867048415501,0.0,10571.260731054681,23.347167975429944,53.0,343011.0,0.0038404194877361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003022546028886,0.8949656172999199,0.1008917086094553,12109.828440686286,28.32500903543444,43.49313176796068,359529.6810215423,28.61701699436648,12563.492592268403,22.761366019049333
393601,60.0,22946.0,0.0301593708247171,0.7561052606317678,0.0730521706746898,0.0309935424969747,0.0661578280674532,0.0060464418476593,0.0193173903259309,0.0022872141339289,0.015313352401577,0.000567428595301,0.0,984.4541072085758,23.30834909619453,56.0,356773.0,0.0049711457369795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002115448039909,0.885225209156729,0.1095921003023005,12204.470849431968,29.23297571861588,58.27499758168011,358952.53011807246,29.26233464577352,12266.708533794908,22.518000512124573
32373,57.0,130295.0,0.0201592879046754,0.661979263384549,0.121244431726719,0.0256785623125476,0.0658405370838057,0.0268209198337455,0.0422907977928945,0.003141916315722,0.0322814767421445,0.0005628069031962,0.0,4999.918103246799,26.05942683648964,15.0,167994.0,0.0042333294246617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002830749179041,0.897790643031649,0.0976929526257851,5997.351414475023,28.01136508268214,60.06663882942957,175849.32307227468,28.28323372960613,6217.4405074551405,25.61591150326404
299074,12.0,195789.0,0.0193596433316627,0.6403957111788897,0.1292509158091142,0.0046735700289066,0.0899639254855805,0.0428356844238737,0.043896274714602,0.0025588457039666,0.0251028192015905,0.0019626101218131,0.0,7203.483001588986,27.17976844768173,24.0,479088.00000000006,0.0043003795141143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002033964150135,0.7957686481805203,0.1997275758903519,12498.22770851092,38.33247490552244,24.68416500635629,491934.388800816,38.27156114473978,12853.784222189477,26.715037248451445
244776,36.0,299733.0,0.0183880092757104,0.6885868924909542,0.1904574258400732,0.0107692589182603,0.043978402541849,0.0012043323681474,0.0345831726789577,0.0045768837518576,0.0064638705075402,0.0009917516266495,0.0,12621.553458675171,23.74771069039719,51.0,553826.0,0.002011681341977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003279329202152,0.8008473321080727,0.196813053629735,14581.973044041733,37.98018267673976,48.42516274050956,562258.4270766666,37.985183415865706,14802.045864067664,23.489176930655745
432059,10.0,206742.0,0.029189509686837,0.7136244443666371,0.0821536456019114,0.0089878968487183,0.0816086093548458,0.0370043429394469,0.0221625409007975,0.0040935420572287,0.0205130075256124,0.0006624607179644,0.0,8236.922162401783,25.09942378036466,33.0,342364.0,0.0026173638877772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002903573051369,0.797677596211575,0.1994146825955109,8948.710242577401,38.258474206825205,29.44596953859468,353515.73495186947,38.21560804966192,9250.558946817462,24.64882853062372
134365,47.0,23397.0,0.0085643068359239,0.7453533886592987,0.0211725379115458,0.0266315889180739,0.0905728620063702,0.0611544175644814,0.0184097409125005,0.0065708926353735,0.0209015894727247,0.0006686750837071,0.0,917.8487926854681,25.491126846225285,38.0,381697.0,0.0034230243408434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001824614432379,0.8911610914433811,0.1052334227725375,13275.774535194549,28.75139216835204,39.8032398409091,383250.4146011525,28.75748456785441,13326.979753631029,25.20480858324767
477150,47.0,141882.0,0.01302646220424,0.5684876130237752,0.1313466386085738,0.0880705828813603,0.0523750653727575,0.071357457971961,0.0441842032502804,0.0079485380752492,0.0219320821504736,0.0012713564613288,0.0,4850.651416807136,29.250091958451133,51.0,329218.0,0.0048514498763264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001895708364686,0.8427714254887586,0.1521875537984462,9816.274959454662,33.537976611271446,55.71291820498277,335859.8013683261,33.593320000578736,9997.815082359828,28.96486935496749
100461,13.0,225384.0,0.0181707019917664,0.5578837110992256,0.169359668015108,0.0640303123570941,0.0541902895224952,0.0690715844276345,0.0188062711867823,0.0098486923252029,0.0374938846881489,0.0011448843865418,0.0,7993.436836115805,28.196131979385136,51.0,638116.0,0.0024987042175867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003963966580659,0.8608473374329262,0.1362575616914211,20023.190913399605,31.86884661689811,38.64014867412982,653688.8339281119,31.949409361398224,20460.122643703988,27.765635453687388
202319,24.0,280878.0,0.0153457008502231,0.6185424778450773,0.1858334718627557,0.0154865289265235,0.0116936588853736,0.0909749515730074,0.0324435131146653,0.0054141122487333,0.0235222570321481,0.0007433276614923,0.0,10646.05327869335,26.38329835922761,17.0,388130.0,0.0024748627596284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002018552925273,0.8297551607764339,0.1675681211714102,11079.262002983674,35.03211675068931,35.46356881003385,403905.49930345046,35.09474387906263,11509.002621455766,25.94894161068168
240395,14.0,108729.0,0.0394036814683548,0.6322090457959717,0.0941512056041408,0.0675069570044824,0.0846889033238217,0.0343320866222812,0.0017947514408233,0.0088837018502768,0.0362833252289922,0.0007463416608545,0.0,4084.0483527519195,26.62284836239416,15.0,699423.0,0.0015086226104454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003585073106949,0.8783460852412411,0.1197867848376183,23177.732171330834,30.17650712458984,20.07516522611149,711024.1680953482,30.2538081444783,23501.972535154026,25.833189405057688
181115,12.0,226676.0,0.0370667446983736,0.6357140349788418,0.1548617487844933,0.0368561335692347,0.0912081993286014,0.0019174563935419,0.0135841984017004,0.0074722560961192,0.0203272208005274,0.0009920069485657,0.0,8801.433170456445,25.754441988025064,51.0,641375.0,0.0026784063937227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003195704190849,0.8624774788946219,0.1345245442925703,20234.570226466964,31.6969914765512,47.78260990005623,661362.7998471993,31.88451184219089,20742.4470890615,24.92154058891116
