,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"sweet_gas temperature, C","rich_amine temperature, C","rich_amine mass flow, kg/h","sweet_gas mass flow, kg/h"
378785,34.0,43352.0,0.0287298772403429,0.7304471876054801,0.0555143064710506,0.0994211493863874,0.025227412217981,0.0016362701075488,0.0172565644056344,0.0085418036001144,0.0315527236120247,0.001672705353435,0.0,35.0,168888.0,0.0042730962436408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000221527379283,0.8283883772940567,0.1671169990830193,34.64004774566234,44.62955572141391,172799.51101149523,39440.48898850441
118926,41.0,169862.0,0.0279473482002231,0.7414298292695868,0.0057859781641162,0.0215757166863464,0.0590632653726731,0.0826716259249595,0.0210858287790417,0.0027507057540271,0.0375836311208279,0.0001060707281979,0.0,13.0,29273.0,0.0010528458847951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003055744257632,0.9433225182705276,0.0553190614189141,40.024375034598336,40.38276028246622,31566.931898524803,167568.06810147525
484677,19.0,200299.0,0.0356382734456803,0.7431748089675496,0.0026628303589654,0.0361373368014359,0.0346794494685991,0.0798798169973981,0.0456991977678967,0.0096573354811254,0.0111125508020449,0.001358399909304,0.0,43.0,343858.0,0.0009147568970189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002292313464734,0.7919239037071626,0.2069321080493449,43.86720605520043,42.554391755563245,357737.28554920066,186419.7144507993
172004,37.0,15602.0,0.0388048179126044,0.6320713661691637,0.1372680922809293,0.0295366919137933,0.0321852941687477,0.0809758043117055,0.0273293522475876,0.0011914586794565,0.0196269873595617,0.0010101349564498,0.0,51.0,83498.0,0.0013804349785105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001145628602055,0.9638155818815622,0.0346894202797217,49.91804494694418,53.41179204917012,84879.75281485016,14220.247185149885
373724,18.0,276450.0,0.0352835513390563,0.5178670767295213,0.1546051019890754,0.0413040052479318,0.0647555740266204,0.0928100433366254,0.0456513592687596,0.0086368179967313,0.0389786031105268,0.0001078669551514,0.0,32.0,476519.0,0.0024351591725051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001425266750173,0.9749923324289684,0.022429981723509,34.287811687626686,24.77047751580613,496446.7066922039,256522.2933077974
120916,49.0,236321.00000000003,0.0381588572464851,0.7104463754246565,0.0928199229481063,0.0746854488794641,0.0113757130670783,0.0377670426907446,0.0154121442592469,0.006467316315011,0.011993657032136,0.0008735221370707,0.0,36.0,28031.0,0.0046593521620114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003652849416757,0.8389002394164325,0.1560751234798802,52.56279039620881,48.30291100598311,30992.032658357628,233359.96734164297
256827,15.0,227876.0,0.0249032105129096,0.5838062246083553,0.169089042189812,0.0321754200226999,0.0970308874962546,0.0341673136911908,0.0373069980538864,0.006656382845936,0.013019563399289,0.0018449571796661,0.0,42.0,69673.0,0.0036779001023576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003901881438346,0.9247529188262416,0.0711789929275661,25.032571827445626,11.273792149318638,77352.09751943138,220196.90248056868
146114,50.0,48516.0,0.0168023449076555,0.7915877496530749,0.0252293219990836,0.0588203060696558,0.0369833404689556,0.0223656672117006,0.0291999901362075,0.0046657840231973,0.0124873963591535,0.0018580991713154,0.0,36.0,511093.0,0.0011187038589101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003017557402476,0.7929576814076014,0.2056218589932407,36.17396747514482,38.87112503729168,514294.7005978711,45314.29940212885
227485,52.0,31946.0,0.0163326582137027,0.5968684018956584,0.1969282157024485,0.0221128325235985,0.0527859633815595,0.0590569304453262,0.016475643239894,0.0012903334225278,0.0373407222130264,0.0008082989622576,0.0,31.0,305016.0,0.0015216530320428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002974411662516,0.8264521501098695,0.171728755691836,30.93800088232541,36.11286427089158,307970.46932084404,28991.53067915575
223536,16.0,132638.0,0.0203068791846694,0.6812873440323658,0.119155765548765,0.038264322993852,0.0619609927911429,0.0356815491026427,0.009842925565478,0.0097324092627449,0.0221738551833333,0.0015939563350057,0.0,44.0,699051.0,0.002198448559718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001121897585628,0.8581410194662836,0.1395483422154354,44.24958799682781,42.5763200852337,708619.1659459483,123069.83405405156
