,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",rich_amine H2S mol frac,rich_amine CO2 mol frac
403002,58.0,100241.0,0.0068024644730583,0.8237990652877898,0.0219934899231564,0.0096771689203724,0.0352983480931419,0.0620902771449009,0.0315059825599235,0.0003379965737671,0.0077893711244306,0.0007058358994587,0.0,54.0,39540.0,0.0039410609763906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000169242136134,0.8263945988594824,0.1694950980279927,22.839753865048195,4388.882673267306,34.186635963662134,29.85521846132199,35.26461666705889,1121.2371985581456,0.18976057859688245,4.418864168515026,58.57420401395058,41130.84151536479,35.49102044841199,1158.9083941711558,62.73923652171146,98650.15848463523,22.67188321947908,4351.211477654297,0.029097418103642,0.0155744083335227
300361,37.0,14327.0,0.0354059880252348,0.6716396376252928,0.0987926434630698,0.0392728699818705,0.0440623481535035,0.0736014987835338,0.0176999033879884,0.0032916937783283,0.0159555991888748,0.0002778176123031,0.0,38.0,393632.0,0.0009107659311057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003066056885008,0.8698514116341612,0.1289312167462321,25.93799431811341,552.3557382382089,8.813166769003907,19.556700653731752,31.08507763259824,12663.053464187162,3.882564225909545,11.533077678951681,39.16942108388344,395368.2086842235,31.091023562842505,12716.474511850289,37.74251780969456,12590.791315778024,25.235349542973097,498.9346905751099,0.0009981955646589,0.0023097567230419
311650,29.0,189789.0,0.0095750865441591,0.6995300048732562,0.0448355170323547,0.0786137958766196,0.0284955189082589,0.0913291457818115,0.0264052048191762,0.0002691323686232,0.0193561799052211,0.0015904138905188,0.0,56.0,556033.0,0.0015641232516467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003686747415682,0.7899796474098111,0.2080875545969739,26.036096868200413,7289.456670896078,141.09603473317858,69.79717848372783,39.10960183715121,14217.301477915074,5.241559948167528,22.23761181727796,52.33853709253873,564523.3810323554,39.05930307432338,14452.981405176659,56.15991939241144,181298.6189676445,25.7023472044608,7053.776743634488,0.0101094227387796,0.0056310141012143
328689,38.0,233804.0,0.0264287652928461,0.5884436594082078,0.1363967119519329,0.0532514733794492,0.0844460848684468,0.0861367570063566,0.0027210693235375,0.0034190462625315,0.016980870120837,0.0017755623858543,0.0,29.0,35236.0,0.0040667520702925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000170933899231,0.710408296986802,0.2853540170436744,28.021582804163184,8343.711403956224,141.68347967632718,220.51399036640248,46.98686468047342,749.9117091471569,0.1281853325235071,3.0497049957107873,39.18438145487033,41104.81920357047,44.98339913886098,913.7775266089258,47.37823795003351,227935.1807964296,27.865462542809823,8179.845586494459,0.1313992561457883,0.0435391676819244
440303,21.0,85346.0,0.0309755160105084,0.6663098067266792,0.0699234285987356,0.0615077455162223,0.0627556043223461,0.0540396455778139,0.0083424653418043,0.0065242515094647,0.0379845775325896,0.0016369588638355,0.0,23.0,651283.0,0.0026433730297631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001063815772629,0.8712949522663413,0.1259552931266325,26.05277533246612,3275.888994968018,124.4332595175197,101.47235201228011,30.825888851052227,21127.793042625235,2.2476079479585973,55.84863830729201,26.44302138710259,660230.7135688817,30.87495110001912,21384.02459100487,23.03058569430658,76398.28643111994,25.30031560945238,3019.6574465884128,0.0059238919971116,0.0063664799603041
73477,23.0,32564.0,0.0337727017380243,0.691396224030553,0.0039096204451861,0.0755376466093724,0.0345012499022204,0.0979697004573783,0.0181915484124789,0.0072551805924628,0.0371622541915874,0.000303873620736,0.0,33.0,354052.0,0.0013480810545134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000182237804518,0.9818178424214784,0.0166518387194901,26.834426274936146,1213.5157899915819,45.09698225317216,40.98370682976862,19.73755883752482,17937.98325894692,3.2689786865911254,24.181855387564877,34.60445106493063,357663.3508759099,19.82495872148393,18041.0640900007,33.18424675653824,28952.649124089818,26.073250748323844,1110.4349589377948,0.0026803298462465,0.003465278015872
65926,23.0,258651.0,0.0305961881152758,0.6097647149147368,0.1276061018868136,0.0641412171486086,0.031297819932894,0.0915109373717428,0.0327025379663172,0.001372730363555,0.0099586962249889,0.0010490560750668,0.0,57.0,587295.0,0.0036672622066023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002392341418712,0.7784543330275333,0.2176391706239931,27.74922791193929,9321.016095323996,92.82516780156385,285.1875618780465,40.12832369711612,14635.423209622055,3.5012929124757757,53.671934414277096,45.38504694917549,598493.0459052053,40.11586034883258,14919.11280727704,57.19137760055469,247452.95409479443,27.38121214925896,9037.326497669002,0.0064353326544906,0.0142018721011045
210903,15.0,32440.0,0.0243513715639069,0.651740965481726,0.1774801548563859,0.0219756406856571,0.050466816370489,0.0099152850859895,0.0389550363097744,0.0038072731699689,0.0196465422188734,0.0016609142572286,0.0,33.0,288256.0,0.0023045037953224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002252774019628,0.820435749484665,0.1770344693180496,25.1276750942527,1291.006823286242,25.363820058546786,31.437786845382377,35.98557139103133,8010.32160550442,1.8045444401745208,18.459816541637956,34.10105705119156,290962.21136878466,35.97595724770027,8087.685043804752,32.203396082541246,29733.788631215582,24.499609192498166,1213.6433849859177,0.0033584320435537,0.005811752756614
198456,42.0,138887.0,0.0321489410758627,0.5318226841946797,0.1834740025357759,0.0592099881429546,0.0692664873413846,0.0750618201101634,0.0064007028618675,0.0028552170753739,0.0396608239920176,9.933266991972256e-05,0.0,24.0,622036.0,0.004945857635302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001334175049023,0.816164465109881,0.1787562597499145,28.484897894324668,4875.811755241428,193.37871184284066,156.75218481625535,36.22691272509131,17170.54955028416,2.290851878800222,84.92309359560423,37.124511310572245,636105.0009895947,36.24338259128764,17550.92807321204,24.228888675195662,124817.99901040536,27.765510588212795,4495.433232313543,0.0111478950255359,0.0129327967646415
250907,17.0,215006.0,0.035230237753056,0.6396406223244283,0.1872426679684783,0.0198603481779683,0.0632150909170341,0.0002261376609244,0.0289097473797402,0.0019717001176137,0.0224589926641981,0.0012444550365583,0.0,12.0,41758.0,0.0019717324012229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002310881721695,0.9331264862945432,0.0646706931320643,25.02155745445492,8592.830417985017,192.9863153222238,302.72745859730367,24.61158934941997,1696.6803487229536,0.3920827605422972,3.3453996180952164,16.54889583854765,46354.09081240671,25.522246757823616,1816.222970189616,22.01002784601804,210409.90918759324,24.83214476369492,8473.28779651835,0.0234739144128579,0.0389795465885567
