,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",sweet_gas CO2 ppm
110439,21.0,6621.0,0.0319565721575179,0.7920163525354983,0.0381001791643852,0.0267087846009554,0.0098316396169813,0.0674819843511949,0.0237500395931535,0.001595048510769,0.00702547269758,0.0015339267719642,0.0,20.0,571972.0,0.0030102806282487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003766997271456,0.820563231865405,0.1760497877792005,23.02541506727384,287.5518196156414,2.020187457849138,9.189170472572815,35.9067515220215,15929.371935782365,6.000590061809995,47.95187975845415,20.474791844041704,573432.6809599836,35.872132581496004,15985.463915679733,20.0890281555146,5160.319040015924,22.29466263476744,231.45983971825873,633.7688961891632
471425,36.0,50033.0,0.0356107635637481,0.559364628010975,0.1561758040447821,0.0984248523296834,0.0965236080991075,0.0109286241444755,0.0282714548654123,0.001991056974101,0.0116975185779383,0.0010116893897762,0.0,37.0,570335.0,0.0038782056629073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003560834861261,0.7960849585257592,0.1996807523252072,28.42315580595908,1760.2901078813454,20.59102623950305,62.68527483536723,38.31921772855794,14883.785051148103,5.299870067764351,57.72237947085759,39.54158398970151,574833.9106684104,38.30558494197894,15006.530027908597,36.371619305668105,45534.08933159002,27.806311084948888,1637.5451311208587,7412.269011582216
66396,55.0,106775.0,0.0205914901842693,0.6984267171211672,0.0345180795999849,0.0971445667095492,0.0927028177182281,0.0104508486019604,0.0221747399985365,0.007684197043227,0.0143211560586289,0.0019853869644483,0.0,42.0,223445.0,0.0021582139094463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001065457969737,0.8530770038533231,0.1446582364402567,26.10643482232112,4089.9878028809544,58.57335360294688,84.21894369680435,32.705054298747626,6832.124415966995,0.7279341409226782,14.745185945607647,54.26750519829409,228155.8090876352,32.78173721980919,6959.844975810688,42.21274361000639,102064.19091236382,25.75903760447197,3962.2672430372427,16581.926012135496
248009,47.0,225187.0,0.019769582408211,0.7295401811491357,0.0826792361615252,0.0737834985417773,0.0319093220656823,0.0238495223992664,0.0153830256678757,0.0024443756260741,0.0202156723536533,0.0004255836267987,0.0,57.0,623957.0,0.0035277692563338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001375347970587,0.931544483678294,0.0647902122683135,23.53742453325208,9567.189463820523,193.4071675459197,189.13934051996785,24.662623874876846,25299.700598183645,3.4795891874170586,89.25150596472211,60.560838003425886,638231.2434525556,24.86156119984264,25671.406486596476,56.8372962817574,210912.756547444,22.93655954228522,9195.48357540768,4668.048161342311
354990,23.0,89162.0,0.0125652908115499,0.7435410563506689,0.0971775329456953,0.0560528447775721,0.0310230637969547,0.0025639947637934,0.0208383528076465,0.0005515759405834,0.0343103398871848,0.0013759479183503,0.0,57.0,550912.0,0.0039406763282927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002274541411267,0.7489315101904221,0.2469003593401584,22.564907837018108,3951.3567103397713,135.57239174726598,49.64994616558837,43.09496646304399,12783.67394652537,2.9076995779506993,50.37632130968465,57.072821235194965,558060.5830045915,42.95972584331447,12990.319934535584,57.71585287805817,82013.41699540865,21.90113551531929,3744.7107223295498,10119.428730602323
461813,20.0,21232.0,0.0195428723168263,0.7765303725193574,0.0244142991280971,0.0364411107579054,0.0072693903922489,0.0919656956081994,0.0198388888490699,0.0061300063830148,0.0174547789068984,0.0004125851383819,0.0,14.0,636031.0,0.0014476781084223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003919642881744,0.8262299586045467,0.1719303989988564,23.902691832967385,888.2681560875968,15.504524274547322,17.35931115752264,35.449707755503184,17941.78401657664,7.03253860063629,25.973927946839126,14.750711372679746,638418.9579026537,35.4156899768954,18026.44416413029,13.734317476521994,18844.04209734912,23.449296046371582,803.6080085340108,3739.2900733362912
203203,59.0,283508.0,0.0094260502016714,0.8061514420422875,0.0217807093899137,0.0199647762591046,0.0338471123945536,0.0799872484388382,0.0155766863883364,0.002899912217179,0.0091418200556174,0.0012242426124979,0.0,40.0,590374.0,0.0021191791079297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002398545486368,0.8101350110405051,0.1875059553029282,23.166205277276656,12237.999128760559,111.87758587593154,115.35599415570789,37.04016306063493,15938.752727237048,3.8229823412250075,33.77707178601828,53.78809819224443,599730.0945998614,37.03532436827269,16193.46137315423,40.2377633212825,274151.90540013905,22.87784860031935,11983.290482843398,2263.895136769725
263164,15.0,47370.0,0.0370732914063842,0.8057875755096552,0.0035655436575837,0.0174469866188197,0.0433048018647145,0.0506676331219812,0.0314291099028091,4.913408044719847e-05,0.0093908940395436,0.0012850297980612,0.0,50.0,623436.0,0.0020069913082945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003566937171309,0.7922856890672233,0.2053506259073511,23.51158187395915,2014.7517191289392,18.920319910328175,74.69347759478069,38.84408530855614,16049.702163090362,5.724827923396548,32.21161274203779,50.487600025907625,628265.328749243,38.830117134603285,16179.846343789863,50.37699737492613,42540.67125075723,22.57269504833297,1884.6075384294409,6702.384265683033
377681,13.0,161698.0,0.0176676343301351,0.8234935108003861,0.0467273764266186,0.0045355789413139,0.0179967505852103,0.0443997621843828,0.0265440357746003,0.0009833555661576,0.0162312448418911,0.0014207505493039,0.0,17.0,451935.0,0.0028257140018744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001707032734985,0.8669393508758622,0.1300642318487648,21.78532946458577,7422.334386214184,120.47372672102992,131.13508981161996,31.24727505422016,14463.181164303254,2.468912369948412,40.86881352761779,21.836891370031424,459851.5624818193,31.29638562947316,14693.439936679371,18.214481492595155,153781.43751817805,21.38206628727496,7192.075613838009,17477.1941144186
336267,49.0,3995.0,0.0154375651008703,0.5588173194725982,0.1729451090793012,0.0035563016473861,0.066610282479708,0.0966730221097411,0.0498522229112829,0.0091488147123941,0.0266638324712916,0.0002955300154261,0.0,44.0,694012.0,0.0034713699979982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001422458199702,0.808297746963073,0.1880886372189585,29.66319379463004,134.678687253266,3.59104995437456,2.079111002172045,37.132681763500585,18690.05865022591,2.658582717992514,64.88010885922095,44.181956179891415,695741.3903887585,37.107006841936176,18749.59608982722,43.75492460963511,2265.6096112417263,30.15134406252527,75.14124765196203,732.2298913144152
