,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,feed_gas molecular weight,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h",lean_amine molecular weight,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h","sweet_gas temperature, C","sweet_gas mass flow, kg/h",sweet_gas molecular weight,"sweet_gas molar flow, kgmol/h",sweet_gas H2S ppm
389910,44.0,138431.0,0.0177404313553103,0.577544153193428,0.1953376895709593,0.0525722256089102,0.0340594055835393,0.086633143063195,0.0252200388814592,0.0026470772659828,0.0071910299798235,0.0010548054973921,0.0,18.0,475876.0,0.0029788548139633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001477435894241,0.8935270930260426,0.1033463085705699,27.52790922885854,5028.75096140166,36.161898924505586,89.21221123369682,28.54840966371664,16669.08964826894,2.462751137067362,49.65479794313174,31.111766305326057,481531.4238080889,28.62222046226807,16823.692083669022,19.21578791080111,132775.57619190915,27.24077353892836,4874.14852600153,3.082442689943076
167068,48.0,107446.0,0.020796583460626,0.6531903992308709,0.0683583144397481,0.0154038467315531,0.070850139077894,0.0935999020261362,0.0420647095318005,0.0081745716044704,0.0266517033903727,0.0009098305065276,0.0,24.0,108415.0,0.0019010977055721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003481147457432,0.8582722199234645,0.1394785676252199,28.236900957795985,3805.1626189642107,101.41406547276792,79.13438198654342,32.17833625057162,3369.192215401569,1.1728654914244858,6.405163590331303,63.35230591926416,114846.7066196814,32.43123717460807,3541.2372954307225,31.48949324757513,101014.29338031868,27.803750442361995,3633.1175389350556,13.614468875809536
2612,59.0,177341.0,0.0095731011957496,0.7162129267731533,0.0402740120071697,0.0588993899870688,0.0882987116754527,0.0410819127212225,0.0305927202474402,0.0040224365899187,0.0099882401207449,0.0010565486820793,0.0,11.0,324715.0,0.0028893254336606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002377817577403,0.8086671340474638,0.1882057587611351,26.09661259675262,6795.55629461533,67.8756480246574,65.05454808976573,37.13093339809623,8745.134320179754,2.0794334103273653,25.267539012073563,44.86342997348749,329050.85275915486,37.09284283352689,8871.006577628437,10.75170122600406,173005.14724084394,25.939031935662587,6669.68403716662,4.53376974851237
322124,41.0,288592.0,0.0096979138467445,0.7862636779948707,0.0268808846745345,0.0034601372324156,0.0913044360672689,0.0369688580150106,0.018378211068396,0.0075174605688841,0.0191830662696508,0.0003453542622239,0.0,57.0,451091.0,0.0039132134497772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003413115107442,0.7940069334318558,0.2017385416076228,23.98559782436543,12031.886889508249,230.80848355037938,116.68420246822565,38.52803266183084,11708.124418376785,3.996117633217238,45.816389945656894,56.67942877183742,461499.0984174655,38.48249099785174,11992.443484056903,56.58020864583148,278183.90158253454,23.68012730416258,11747.567823828142,61.50371851370013
87917,53.0,294406.0,0.0205630680679904,0.5708763505548373,0.1864455356766063,0.0083060722321925,0.079992956100517,0.0961505800703458,0.0034509393554877,0.0095271321523243,0.0236492026348958,0.0010381631548023,0.0,54.0,489938.00000000006,0.001500522833205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002038762425568,0.8440475494497484,0.1542480514744896,28.035172602036667,10501.308630381407,248.34757573147,215.9391241695079,33.65951691844326,14555.705038403134,2.967562450994713,21.841167763520964,63.84304516360697,504518.7111814715,33.751541262326114,14948.019921822695,54.449848732708006,279825.28881852864,27.68082519614053,10108.99374696185,13.450879906440225
415149,44.0,91174.0,0.0057561307618399,0.7577422165986974,0.0167574522168665,0.0350817097451685,0.0582311877333115,0.0631172749739572,0.0239573638957972,0.0087570630207165,0.0296758103611972,0.0009237906924477,0.0,39.0,436419.0,0.0044579348506796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002950898902488,0.8228810123761418,0.1723659628829297,24.90206461225834,3661.302844548821,108.6521288897427,21.0749379319194,35.57045811721013,12269.141953750843,3.6204997525792835,54.69503550356108,44.09218564847572,441570.7814266413,35.545272491693865,12422.77103178282,39.18200805907992,86022.21857335891,24.524007732560488,3507.673766516855,18.101905735199235
505398,17.0,157888.0,0.0263317199737395,0.5842037943825938,0.1531383701811157,0.0865791499663689,0.0250625041061473,0.0935745390960262,0.0188107069293734,0.0071675988989513,0.0039477176772727,0.0011838987884107,0.0,11.0,439074.0,0.0043325790211107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002362305226511,0.7774495245938243,0.2179816658624137,27.87955413828952,5663.218257251758,22.356786824406253,149.1222773001223,40.18021290318213,10927.61755787578,2.5814368070283322,47.34476658197354,18.29487727906462,443972.5933928415,40.12639723509452,11064.35224651924,-49.57325445576706,152989.40660715633,27.68295693054673,5526.483568608248,7.369581998482448
39994,42.0,293286.0,0.0243116188695483,0.636912394839002,0.174521301135294,0.0618411375008909,0.0282250858620474,0.0058549278723407,0.0224102130432969,0.0067220862053488,0.0384209581093079,0.0007802765629227,0.0,32.0,548392.0,0.0025377993741329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002977578509185,0.9495722313644844,0.0475922114104641,24.66881903230093,11888.93556744554,456.78429540108584,289.0392702803529,22.899912676881566,23947.34022517147,7.130508560661204,60.77354503558777,48.43055748396114,570976.7905221645,23.230562686928216,24578.689643340058,32.172983986626605,270701.20947784086,24.04611484987169,11257.586149277056,14.099538398001798
275880,15.0,91042.0,0.0074376128554227,0.7111533178689132,0.09907206166495,0.0295916233035949,0.03560273430826,0.0680215208441546,0.0160498131053343,0.0095025959211288,0.0234489349868511,0.0001197851413901,0.0,60.0,317594.0,0.0028021293150547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003820544025002,0.7153310357063188,0.2814847805761262,24.68808794225292,3687.6893914568554,86.47238879197229,27.427606024705423,46.56601602019469,6820.295725154289,2.6057240081484903,19.111350588797087,51.84095058484354,321653.1226925296,46.38446135026655,6934.501626818637,59.85642372618327,86982.87730747032,24.34120027584649,3573.48348979251,204.7389223073459
416158,14.0,106443.0,0.0188704794094602,0.7919198083888628,0.0036689452435955,0.0300594698642115,0.066996926413317,0.0137754223995563,0.0413845067016681,0.0041071261726654,0.0274722327762665,0.0017450826303963,0.0,48.0,141359.0,0.0017285587704189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002144708054857,0.9070162207727628,0.0910407496513324,23.91564840820727,4450.767889842005,122.27253150287204,83.98812382155019,27.272292317465062,5183.245997604473,1.111654944136762,8.959545328397873,41.23207599750742,148985.2916057519,27.65089658718331,5388.081762050684,48.83641572446396,98816.70839424814,23.273266146485245,4245.932125395797,11.157694022745275
465603,50.0,285249.0,0.0267015243293973,0.4928391312666988,0.1901316677542236,0.0975585412189123,0.0577131673071161,0.0858363813684497,0.0421174077834513,0.0017685991522843,0.0045215395202629,0.0008120402992032,0.0,46.0,64846.0,0.0017632369515572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003833911742213,0.8043263023769175,0.193527069497304,30.779518839642726,9267.49379956555,41.903339468527015,247.45621116163812,37.64224320934841,1722.6922327491782,0.6604649979356204,3.0375146009439273,49.66090443747163,70638.40322184107,38.0097477732007,1858.4286231871724,55.17140891589173,279456.59677815903,30.602717993672368,9131.757409127564,287.10012042509965
473042,27.0,199232.0,0.0367170021441936,0.6340178087805356,0.1285445166129943,0.0335574221944934,0.028358659224236,0.0699851334973899,0.0365962073194329,0.0046794671782505,0.0256259070829443,0.0019178759655292,0.0,22.0,236253.0,0.0027958663552208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002688882098722,0.8860312804829883,0.1109039649519186,26.73441357712148,7452.267446423319,190.97111313929454,273.6249198094292,29.31004480406069,8060.478978430933,2.1673677632227935,22.53602198275957,46.871798672531725,253948.71174761013,29.811099329145208,8518.596008277154,25.3896431860706,181536.28825239,25.955445256385087,6994.150416577105,7.868453276952205
418150,49.0,58395.00000000001,0.0341289576890828,0.6225960211954303,0.1061345283310368,0.0800840464205227,0.0423265606334465,0.036147205339915,0.0288804087914822,0.0096334204884263,0.0386103670900026,0.0014584840206544,0.0,19.0,87284.0,0.0012072038258635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003080326673814,0.8152893010579381,0.1831954624488169,26.89515651176451,2171.2087815684135,83.83116808539373,74.1010926403134,36.58155229124415,2386.011378223869,0.7349694492366688,2.8804020643456973,64.91149881178711,93208.41023482184,36.65257323153726,2543.0250052572515,20.38102265792997,52470.58976517816,26.050400154641803,2014.1951545350319,7.332894570700058
22951,43.0,164193.0,0.0245058382701553,0.7458968501746132,0.0987185078500511,0.0172211838943639,0.0439717287728243,0.0147953811134433,0.0330761516311233,0.0087001594166738,0.0114099638898227,0.0017042349869289,0.0,52.0,81797.0,0.0011886573995315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002306987807702,0.8685330820912913,0.1300475617284068,23.62205753042061,6950.833973228259,79.30876463868728,170.33601319063268,31.20399832011092,2621.362786937531,0.6047451989028619,3.115902273549811,47.61910639920046,86629.71700864981,31.5643681199452,2744.54146141799,61.184977301661945,159360.28299135022,23.34041131522516,6827.655298747802,88.69663991205623
57,32.0,1240.0,0.006165354325872,0.6453133867073159,0.1736830417636669,0.073115943953356,0.0078356915916355,0.0639219022509091,0.0119214444412028,0.0004903044806014,0.0157866993824359,0.0017662311030042,0.0,31.0,394761.0,0.0041846944009393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333023096392,0.7093846569452418,0.2860973463441796,24.70685505509913,50.18850020509115,0.7923107651930965,0.3094298868484865,47.0677258719345,8387.084625122874,2.795434676692878,35.09738607095578,44.06725774224395,395727.1806783674,46.99209960312236,8421.14278826719,47.06127063075496,273.81932163270614,16.975424667257823,16.130337060777542,110.32710113887308
130705,29.0,168421.0,0.0272380409541185,0.5693889565430887,0.1160516268516628,0.0938202869438473,0.0927139298746799,0.0482933899030478,0.0211794018325832,0.0099703200344811,0.0208294395149067,0.0005146075475836,0.0,56.0,310193.0,0.0049889625137277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001071140260981,0.9923158391534254,0.0025880843067487,29.12255317379646,5783.181130957289,120.46042157102455,157.52252449009998,18.40846743779355,16850.5608111166,1.8049314104895646,84.06681622194974,40.9841403000529,309207.0102415572,18.366310801730005,16835.55361659412,55.8444553659761,169406.98975844277,29.21722790789573,5798.18832547977,22628.911057271725
465037,48.0,140761.0,0.0117851114897404,0.6869986535254381,0.1720631001496241,0.0311849866641249,0.0127027871915237,0.0132140358029431,0.0489965774966805,0.005535224444787,0.0155437684109284,0.0019757548242095,0.0,60.0,105870.0,0.0028254859878645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002640391301572,0.8087559236777178,0.1881545512042604,24.09525306010697,5841.856055583386,90.80445761796781,68.84692492206528,37.12451622250297,2851.754333052482,0.7529747335212034,8.05759190887166,58.3061075560401,110472.84769189706,37.15847186636215,2973.019129774899,66.80407697103891,136158.15230810302,23.80141250210795,5720.591258860973,130.7618891117371
48168,47.0,165380.0,0.0350768242601231,0.7127764672963816,0.0787700919449855,0.0635720108738741,0.0623696479676966,0.0386575764991098,0.0006344437826983,0.0041725975632993,0.0024559657073173,0.001514374104514,0.0,29.0,281754.0,0.002884038735912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001830892855261,0.8555157690604543,0.1414171029181074,24.48037953499725,6755.614216012136,16.591556846391054,236.96549262424702,32.39731583108641,8696.831597685841,1.5922966835611114,25.081999207429412,51.53089240491954,292251.3062651021,32.652467231063014,8950.359070786448,29.877903570234707,154882.69373489777,23.82045947076121,6502.086742911526,5.671390764467479
317569,44.0,241673.0,0.0283405975444995,0.6277168645197067,0.0400648657855752,0.0921813487178629,0.069845113340824,0.0879965764676602,0.0339159488033183,0.0094362122533239,0.0102775553173507,0.0002249172498783,0.0,35.0,568612.0,0.0037331054411457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002955216339992,0.8449247653937891,0.1510466075310658,29.243684399949867,8264.10915583586,84.93483899772745,234.2097916493576,33.39520307286065,17026.756769809705,5.031774982321105,63.56267834244099,44.66847619471264,578368.7978375858,33.47126726478414,17279.560802470733,35.76606474860955,231916.20216241543,28.94861681045392,8011.305123174862,14.27578244629781
374829,34.0,69016.0,0.0371632567850118,0.7629787304432067,0.0588832650631238,0.0147201258431004,0.0140643044057824,0.0629416685963739,0.0392285299268208,0.0060632363859682,0.0023702948396967,0.0015865877109147,0.0,24.0,159417.0,0.0033104466546533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003426942699377,0.9604794685470244,0.0358673905283847,24.14856658068128,2857.97501766471,6.774243436352747,106.21165946662224,21.73477143704322,7334.652699788729,2.5135434522006785,24.28097649305939,32.531192569838254,162957.91916169826,21.95073475030632,7423.802483851899,24.156029726776865,65475.08083829976,23.647242174665656,2768.825233601495,18.53026542136249
229703,30.0,84899.0,0.0324177301696639,0.659285121527368,0.0943430551695868,0.0072423948372878,0.0835435928856636,0.0355194078451071,0.044573360884079,0.006061219188385,0.035551840700309,0.0014622767925493,0.0,19.0,122105.0,0.0027010674382365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002596913745877,0.8086733161918326,0.1883659249953431,26.97133935266317,3147.748759893046,111.90826247631277,102.04286994010693,37.14259230605651,3287.465748051448,0.8537264990214619,8.879666686379565,52.6096120514369,130167.71341530552,37.18150289265363,3500.872834299127,20.87540897486582,76836.28658469454,26.18518738795673,2934.341673645368,8.121323852666862
96980,16.0,160450.0,0.0172501882138212,0.6411813065202524,0.0857436994464683,0.0775852813289429,0.0356519490845268,0.0589917151462869,0.0454695375388535,0.0099349473833343,0.0273127650736529,0.0008786102638605,0.0,41.0,253697.00000000003,0.0012542766469477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001456868690879,0.9160820661267932,0.082517970357171,27.490177680262008,5836.630154457072,159.41450823048444,100.6829686988488,26.39679228634841,9610.9026145273,1.4001823110191947,12.054730705490185,30.292178571385875,261927.74863423224,26.615743064825075,9841.083451860926,41.69225186347404,152219.2513657726,27.15074064807033,5606.449317123554,4.655554626268489
17647,59.0,294316.0,0.0214496698165292,0.7205817947602183,0.0342644570390861,0.0706711049669618,0.0423761148223052,0.0489215079714305,0.0228486846404768,0.004418926061764,0.0328909674188168,0.0015767725024106,0.0,11.0,518576.0,0.004182198012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001210355726835,0.8681770206051529,0.1275197458100096,25.07407215252382,11737.8620516722,386.06963830811645,251.7732653603367,31.02436731867183,16715.119269745694,2.0231240332866762,69.90593858284745,49.516438342187314,537315.7573890132,31.145007148691185,17252.067235810315,12.102400821122274,275576.24261097924,24.603013691987908,11200.914085607406,1.983402528475413
167016,26.0,91075.0,0.0115626474566854,0.6361392028436816,0.0992125915143957,0.0799534804943108,0.0938878433430965,0.0493485423152384,0.0074795065267386,0.0030059007973069,0.018218281392672,0.0011920033158736,0.0,32.0,103669.0,0.0028585419061268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003189956061569,0.8507892585253916,0.1460332039623247,26.947553888088947,3379.713067027428,61.57256368159621,39.07843069879111,32.86574820987467,3154.3173561115573,1.0062133770240365,9.01674834766798,35.99605484169712,107518.70574102906,32.98541984608086,3259.5827563432945,34.20976010014613,87225.29425897093,26.63817019996164,3274.4476667956924,12.742020201582667
