,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"sweet_gas temperature, C","rich_amine temperature, C"
229777,59.0,295333.0,0.0374857545309656,0.7091950478533139,0.027945152524233,0.0491239191655104,0.0969441669026196,0.0161012271325545,0.022952472414774,0.004391658411876,0.0339142958253547,0.0019463052387979,0.0,60.0,604408.0,0.0025830139217158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000211375475889,0.9774528196515828,0.0197527909508123,63.5344472218589,65.53723281272005
230248,22.0,51765.0,0.0364417554723984,0.6499137637714442,0.0607577064086995,0.0720992608721886,0.052337571285893,0.0466957982548655,0.0413133077629475,0.0033357360520494,0.0354375921101702,0.0016675080093431,0.0,25.0,304286.0,0.0047712122411576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003435664657429,0.810058837282938,0.1848263840101614,25.056876153552764,30.451538434078145
142441,53.0,94584.0,0.0262400973410115,0.6334351705885831,0.1867150409615124,0.0906580038022672,0.0190033473194798,0.0111796084827334,0.0250228972429115,0.0026683466939132,0.0042035775972159,0.0008739099703716,0.0,25.0,288741.0,0.0011332900023431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002910792689255,0.8902713306678336,0.1083043000608978,26.41125635969854,36.1115678318306
236140,39.0,135235.0,0.0286970776170141,0.8000683966967108,0.0246262903291173,0.0821666143017054,0.0091940700707969,0.0230521133394164,0.0177584226686246,0.006772684433467,0.0060142072684086,0.0016501232747386,0.0,25.0,96544.0,0.0032617639277371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001806875328337,0.8390542758960299,0.1575032726433992,35.0728227711482,45.195078925245866
328006,50.0,27226.0,0.0247746090216195,0.7283274168602071,0.0960345823607264,0.0398022204504794,0.0186099207560837,0.0625450090529122,0.0171703564053926,0.0095627492128315,0.0016123311289337,0.0015608047508134,0.0,41.0,114993.0,0.0028091014041649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002380756137566,0.8996953260087961,0.0972574969732823,40.644903197121096,46.89627343293711
279008,29.0,176943.0,0.0099413539833049,0.689925510392591,0.0302615204335839,0.0686454013643145,0.0497214536878766,0.0837279928704583,0.0207943920330306,0.0095241161367378,0.035459156951004,0.0019991021470979,0.0,32.0,231731.0,0.004980235753659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003529251713924,0.7902372391106074,0.2044295999643411,32.79441002828253,45.97799062684089
95626,46.0,9076.0,0.0112595661275171,0.6464612454106374,0.1124323899352738,0.0779896858682515,0.0411790646302261,0.0840440998483578,0.0067468796084592,0.0056837616841824,0.0130888095011437,0.0011144973859507,0.0,55.0,244823.0,0.0043526845628666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003604006324213,0.9126277194283754,0.0826591953763365,55.19372166061788,55.13694300961117
449611,56.0,262573.0,0.0319292021479098,0.6717976631662052,0.1263856508485051,0.0202674743531665,0.0500953586306567,0.0386204260916965,0.0444334092440647,0.0040016234794752,0.0105356319503472,0.0019335600879726,0.0,35.0,348262.0,0.0015688522893113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001200975380268,0.840773182125047,0.1575378680476147,36.66050903412463,64.94897708665093
129774,12.0,16148.999999999998,0.0149970276791098,0.6372965462105787,0.0908383327679007,0.090516099106247,0.0515259424302592,0.0670893342959061,0.0160682116277928,0.0025686552475916,0.0283196985217456,0.000780152112868,0.0,38.0,576511.0,0.002031091603209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001448011380806,0.8072485068103729,0.1905756004483375,37.2455064988884,38.12049612911551
470027,27.0,233204.0,0.0167878534897188,0.637380099954597,0.1751563704133941,0.0020912187608906,0.0291738876102298,0.0829350961671453,0.0097976729825065,0.0059913359937814,0.0396363842635739,0.0010500803641625,0.0,36.0,496988.0,0.0033189867084662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001364020296957,0.8034435964587646,0.1931010148030732,36.17685171614079,46.70689651783903
5605,13.0,239763.0,0.0331924857614782,0.7838324392868766,0.041542571691206,0.0325444114478311,0.0680716433824157,0.0009437423801676,0.0147460601834004,0.0020321724663593,0.0218703062841353,0.0012241671161295,0.0,34.0,246608.0,0.0047103343968003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003790688323051,0.7899489164024479,0.2049616803684466,36.45463435643114,35.21522429522577
142531,16.0,156359.0,0.0296784196428402,0.7648107999839462,0.0840291103177947,0.0018829987059432,0.0579543169322613,0.0189102400723956,0.0018679812261091,0.0053284048527841,0.0337293912011503,0.0018083370647749,0.0,21.0,263459.0,0.0040052630306834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625013229805,0.9287517482964176,0.0669804873499183,21.687401761027843,32.780641290798826
216545,57.0,157738.0,0.0340594490747155,0.7315630486319442,0.0417546081900185,0.0446284394949512,0.0518180523835789,0.0069857385782027,0.0453479645771425,0.0065395767389662,0.0355309075103755,0.0017722148201046,0.0,49.0,274649.0,0.0013104720366468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001158294268162,0.8004580529524049,0.198115645584132,49.959779346003245,74.58605936860982
323742,39.0,66031.0,0.0259378618282635,0.6779081926601765,0.1021601604973631,0.0104512465914087,0.0405917968192494,0.0760720175286975,0.03310542598036,0.0076272904404273,0.0245815989796976,0.0015644086743558,0.0,38.0,543520.0,0.0036336845696357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001643815090296,0.8500432101882605,0.1461587237330741,38.500633221624696,41.086079191276326
464796,10.0,70531.0,0.0306210466121891,0.6536323262699698,0.1556076707711384,0.0109888652201155,0.0151070702264034,0.090577965811706,0.0112056734173818,0.000407512879933,0.0313059414021912,0.0005459273889715,0.0,10.0,88522.0,0.0039826148632834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000233394093272,0.8982632106635814,0.0975207803798631,11.974869451076358,32.85237275909299
490624,48.0,196455.0,0.0266825410771878,0.7219446400498643,0.046517610238989,0.0511284545701053,0.0400017583442884,0.0974196727397242,0.0115861044663995,0.001299993056664,0.0020742130818575,0.0013450123749197,0.0,41.0,175217.0,0.0027290289743578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002335905946593,0.845671756551064,0.1513656238799189,47.841205448297046,56.428635651455295
83439,25.0,167984.0,0.0327342697443074,0.5836763514057804,0.1717503942807398,0.0737765212092153,0.0150581425599785,0.0806526723849635,0.0001624202447274,0.009237940040848,0.0311666293947873,0.0017846587346519,0.0,51.0,564838.0,0.0017276035686078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001791916903731,0.8314130431176092,0.1666801616234098,50.89880466519401,51.56179310563908
137018,40.0,53967.0,0.0106677896406276,0.7490332465407173,0.0899015663436235,0.069125936058719,0.0175895830419759,0.0467365204996952,0.0008953125495939,0.0043386149947424,0.0105343709612793,0.0011770593690255,0.0,47.0,394091.0,0.0035852860345126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003809243287369,0.8102327706800357,0.1858010189567146,46.54587405413116,44.83494962267844
