,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C","16 mass flow, kg/h","17 mass flow, kg/h",16 Methane mass frac,16 Ethane mass frac,16 Propane mass frac,16 i-Butane mass frac,16 n-Butane mass frac,16 i-Pentane mass frac,16 n-Pentane mass frac
468950,-28.0,2716.0,23148.0,0.6634763889309312,0.0473908786223552,0.1328399269770986,0.1168383351036803,0.0240485949616764,0.0050350586408363,0.0103708167634217,605.530854248543,-45.0,3999.0,4429.0,0.1244402517719559,0.008759174681654,0.1008781299918,0.3849210914618592,0.2893557050592295,0.0221827370369706,0.0694629099965305,-33.27363463333148,58.036982517414685,19402.203620938344,8174.796379061647,0.8142817860633218,0.050463230489995,0.0888181914743717,0.0395866016025014,0.0057482964488015,0.0004566467142344,0.0006452472067741
117751,-41.0,2651.0,19530.0,0.7477172787688504,0.0619535640402406,0.0446816847162672,0.1081557917269664,0.0058041498522034,0.0216097040592481,0.0100778268362239,1029.5711248246914,1.0,3620.0,15014.0,0.0684855739493012,0.0412706483611994,0.0966924097146349,0.0811366410214777,0.5260562178589672,0.0692035433466775,0.117154965747742,-45.57052411231578,73.99828978285643,17704.861789502003,16839.138210498,0.8755526115376419,0.0643683311793657,0.0271252447423474,0.0300719608468708,0.001084214898819,0.0013771281621724,0.0004205086327826
281864,-47.0,2608.0,7773.0,0.7091700360712796,0.0444562065981775,0.1071590785467025,0.1045029043418264,0.0102378631347834,0.0149512366732896,0.0095226746339405,444.0625131764229,-9.0,3503.0,7230.0,0.1392369518560626,0.0711142925275657,0.1507915664337542,0.1413420347586084,0.4248312718206806,0.0501547951056329,0.0225290874976952,-49.17016616475232,57.790503706865024,7348.616741402218,7654.383258597779,0.8773179322382035,0.0519330172299169,0.0503645255270352,0.018488721888222,0.001148805556985,0.0005306437732085,0.0002163537864285
303433,-23.0,2684.0,16380.0,0.6282961740060725,0.0367109811587272,0.1020214931918267,0.1577921136784733,0.0386049425283973,0.0249355280863063,0.0116387673501964,554.9295403308744,-25.0,4193.0,4202.0,0.1060115579827719,0.041615167724649,0.0184123374231691,0.3673981833304932,0.3709366148054062,0.0448295053437574,0.0507966333897529,-27.794172195032047,69.89451221661085,13043.50483354774,7538.495166452257,0.8178016897084078,0.0410678804583871,0.0713315175258594,0.0566006907889389,0.0098955556298804,0.0024914941783966,0.0008111717101297
420055,-11.0,2233.0,14378.0,0.6379819579619596,0.084669196777424,0.157399538418711,0.0731261878396452,0.0252944727048532,0.0075728119172421,0.0139558343801647,697.4815585026852,-43.0,4154.0,18379.0,0.2418753816643149,0.1596171032048996,0.0932358898273182,0.2036696142615753,0.0416511124393204,0.1055160955388701,0.1544348030637015,-21.10907807280165,6.88674135534751,18126.88837449224,14630.11162550776,0.7310801641375679,0.0883739411963779,0.1182794975311399,0.0438085473572945,0.0130160741064525,0.0022412703931342,0.0032005052780329
546290,-45.0,2572.0,22880.0,0.6569168377329871,0.1060583950966615,0.0696151743387478,0.1120580711121313,0.0231214263807727,0.0191997094960471,0.0130303858426521,806.6532964692399,-21.0,4069.0,10066.0,0.2019056088474244,0.0902332309083469,0.1990007665481958,0.2155662323408153,0.2110629998295671,0.0789220857064485,0.0033090758192018,-49.35299905765635,48.33011488510567,20069.250771644874,12876.749228355133,0.844251204808499,0.1045558027971657,0.0297971268922603,0.0181112016356388,0.0023806422370504,0.0006293564803662,0.0002746651490194
81269,-2.0,2101.0,18217.0,0.6050459099511197,0.1443521204390249,0.1397087342331672,0.0697744488269964,0.0204423804324093,0.0089264302254451,0.0117499758918372,1153.8895491452158,-18.0,4365.0,21328.0,0.1344742842194874,0.0600397900872125,0.0439280807137038,0.5414902201074515,0.121985154223691,0.0520512096257821,0.0460312610226714,-6.500313252081924,59.31971256327313,21467.47449547772,18077.525504522288,0.6370673743264671,0.1373430720650776,0.1210652660152742,0.0684452885593478,0.0185403500646326,0.0076281146803479,0.0099105342888525
5129,-39.0,2385.0,24519.0,0.6449981670267703,0.0810095312333931,0.1083399299940922,0.0854589350575125,0.0403199787343945,0.0238161505559928,0.0160573073978442,1245.023619358866,-45.0,4481.0,11546.0,0.0827707698226253,0.0098741693665901,0.0711400420217221,0.4044967896638736,0.3730115086839038,0.0235049718010591,0.0352017486402258,-42.03628164358483,60.583579537301205,19852.11227648767,16212.887723512318,0.8339917030809152,0.0836650327269009,0.0562432967131159,0.0186276434573497,0.0057940934510569,0.0011621758486547,0.0005160547220064
523770,-26.0,2271.0,14268.0,0.5854663626695575,0.1335347281510905,0.0833537451521738,0.1153392653700732,0.0450522690446147,0.0266941017975212,0.0105595278149686,1737.469494722649,-50.0,4667.0,24267.0,0.1431549199306953,0.11678425441162,0.1283380931600863,0.0484265808940525,0.4187201055905753,0.0431313330599186,0.1014447129530518,-31.611294758554124,42.8815149785861,15066.94985723525,23468.05014276476,0.7678742728582486,0.1292477926910958,0.0523069552646515,0.0372285274546667,0.0103344702326068,0.0023626243198151,0.0006453571789153
265641,-6.0,2320.0,11046.0,0.6957194996814917,0.0760269462096668,0.1465180610674425,0.0422254147202059,0.0190216780993534,0.0040961452416315,0.016392254980208,557.8375449565625,-19.0,3972.0,15251.999999999998,0.28791784849731,0.0381571108560153,0.1385917991635468,0.0773953039499991,0.3265792465535672,0.1211506032783653,0.010208087701196,-14.445938126148974,47.93332113735676,16024.163902382128,10273.83609761787,0.7424695690664108,0.0694959921493931,0.1196100512375585,0.0324803952868896,0.0214460826580901,0.0032962814546256,0.011201628147032
