,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa",Q-100
107538,35.0,4542.0,2994.0,0.6639436071495762,0.0296341720379861,0.076406582100588,0.163401400886574,0.0347098057673974,0.0192371316650885,0.0126673003927895,5.367433461837834,2380.0,40.297787304518806
325359,22.99999999733712,4870.0,1164.0,0.6780200305438407,0.1260302112656553,0.0674219470897543,0.0894443642146751,0.011632296482254,0.0102163838938054,0.0172347665100149,-11.470947804237312,2317.0,17.46027571600621
347570,24.0,3795.0,9346.0,0.6545530580420611,0.0204633792594866,0.1499105795998292,0.116723864767823,0.016290408174171,0.0207173227485638,0.0213413874080649,3.878534571125442,2338.0,92.59195210567668
451991,-10.0,4814.0,6091.142720242798,0.7826307076266014,0.0315141413292506,0.0983072064491494,0.0779437992100039,0.0027313367140089,0.0052795215033196,0.0015932871676659,-37.282554809562384,2313.0,82.82039532979434
203440,5.0,4012.0,3595.498016312561,0.6804485092067594,0.1204630392055658,0.0434996706395802,0.1263247706126783,0.0092068167503423,0.011449873875344,0.0086073197097298,-13.989030685575358,2416.0,35.536489075522695
215531,-24.0,4747.0,3720.46504712336,0.7297091638618566,0.1663168472732681,0.074762554802687,0.0230157795694225,0.0030558724735492,0.0018124190051,0.0013273630141165,-55.26766573101199,2038.0,51.10662936209883
178645,12.0,4765.0,7416.22421926734,0.6619629709008826,0.0675659789681302,0.117382523420607,0.1128045890671285,0.0207880758258439,0.0103209009797239,0.0091749608376835,-11.731064874336766,2485.0,91.06753477438906
510022,16.0,4233.0,16830.0,0.7202864187322007,0.0346905061391592,0.0758651198896853,0.1381515791832744,0.0097975527655582,0.0138275121821824,0.0073813111079394,-7.608704651144933,2455.0,189.4048652437341
156352,32.999999999965894,4877.0,19077.0,0.6906296882199598,0.1279965541142788,0.043908944549541,0.0921118625220476,0.0256900923108526,0.0079714528991897,0.0116914053841301,-3.955709351933877,2462.0,280.547738867539
493972,37.0,3502.0,5164.0,0.5902493715834436,0.1180886221649565,0.169693612606077,0.0822641920250256,0.007983387501228,0.0221174885946301,0.0096033255246389,18.09288382864156,2447.0,39.47745946895975
456605,2.0,4164.0,7018.300113603615,0.6729126271338035,0.1092362922411641,0.1273612142980514,0.0584037260920568,0.0119739654735359,0.0125720102131218,0.0075401645482662,-20.86635346963382,2270.0,80.06953788784176
551404,48.0,3731.0,22123.0,0.6796814327695512,0.0764680791224406,0.1423856022369877,0.0598223595300229,0.0178768259013099,0.0133554117503404,0.0104102886893472,15.197547571069832,2008.0,323.14181762003136
406017,-1.0,4452.0,8042.000237756968,0.6935423540032852,0.1092778632260026,0.100824508478049,0.0756494264741161,0.0048211654565677,0.0099731024545599,0.0059115799074195,-27.157927989978816,2216.0,103.93691879719154
68050,35.0,3997.0,8290.0,0.6499542462557714,0.0523873649185956,0.1162759431857446,0.1409128573790523,0.0116760830057579,0.0230229408642312,0.0057705643908466,5.37489824752879,2281.0,98.53947223706018
54467,-1.0,4809.0,2952.328732741476,0.6369494610663048,0.1552267548926478,0.1418981204766626,0.0506365819962148,0.0048199668790124,0.0034620373495667,0.0070070773395906,-29.03486491844424,2237.0,38.98044019143072
42796,45.0,3558.0,8193.0,0.7282072754213724,0.0833538209872004,0.0754486059030362,0.0756537635492959,0.0163067466394927,0.0096153365953437,0.0114144509042585,16.552721211435824,2094.0,107.14981033576804
44970,7.0,4175.0,24028.695818699696,0.6573824208101131,0.1039558516375117,0.0946018250891386,0.1179014684459556,0.0073271532936324,0.013857259088261,0.0049740216353873,-12.999604401389265,2419.0,249.131627998846
417685,30.0,3715.0,8156.999999999999,0.6135129859227068,0.071165727140978,0.1396520625752738,0.1051034177445129,0.0331849931988774,0.0166209964807888,0.0207598169368619,7.435840508973627,2291.0,80.43479232229583
386949,-18.0,4509.0,882.7132412489793,0.8074489838381368,0.055814045852186,0.0712058460102749,0.0491719471251612,0.011823935813124,0.0020763323068998,0.0024589090542169,-43.99791820039664,2306.0,10.913751059235436
391489,-17.0,4741.0,3813.506711329623,0.776331849082687,0.0988344850441198,0.0467976712663632,0.0686423479315786,0.0058047628005693,0.0013754553136066,0.0022134285610751,-40.74746997825625,2589.0,41.47276132633488
448711,-14.0,4139.0,8914.492222698738,0.8234492137318156,0.0233967931419891,0.0583590097301029,0.0727104583779958,0.017953432574979,0.00214162522884,0.0019894672142773,-40.42751004396792,2040.0,122.42524735297413
