,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h"
445585,-10.0,4203.0,7224.000000000001,0.4508043006598891,0.1290845076826496,0.0777101685481037,0.1936194432471251,0.1192673665248717,0.0119163642896359,0.0175978490477247,3256.610267967039,932.5064834994607,561.3782575915012,1398.706858017232,861.5874557756733,86.08381562832976,127.12686152076326,6.185208423418339,88.59348942095316
399964,8.0,4286.0,20005.0,0.4244031755582497,0.1073770837883689,0.096702005491541,0.2678805784917455,0.0761035632851786,0.0087036174657675,0.0188299759191486,8490.185527042786,2148.07856118632,1934.5236198582777,5358.950972727369,1522.451783519998,174.11586740267882,376.6936682625677,15.406578996866354,263.2597976682525
343688,-20.0,4438.0,9204.0,0.5357270351384815,0.1375752235429466,0.035489341804186,0.1086703747198371,0.1705340870281945,0.0086464053710232,0.0033575323953308,4930.831631414584,1266.2423574892805,326.643901965728,1000.2021289213807,1569.5957370075023,79.58151503489752,30.902728166624684,6.636079006116668,117.22102467179452
365939,-11.0,4141.0,16568.0,0.5722838485243904,0.1906877115303231,0.0644225315618536,0.064269213710679,0.0989052536978452,0.0053408326857308,0.0040906082891777,9481.5988023521,3159.3140046343933,1067.3525029167904,1064.8123327585295,1638.6622432658992,88.48691593718789,67.77319813509614,6.160267251390073,288.03983906663336
593017,-8.0,4554.0,6740.0,0.4465642147887083,0.1450753841878948,0.0201340640942736,0.2201408179229095,0.1553648993456427,0.0091709377310243,0.0035496819295464,3009.8428076758937,977.808089426411,135.70359199540405,1483.7491128004099,1047.1594215896318,61.81212030710379,23.92485620514274,5.965538752461186,74.5051082009713
446245,-12.0,3563.0,22085.0,0.4487030255882101,0.1469155265380177,0.0493972827943632,0.0985329599207992,0.2421601294169295,0.0104093103795097,0.0038817653621705,9909.606320115621,3244.629403592121,1090.9389905135113,2176.1004198508504,5348.106458172888,229.88961973147173,85.72878802353549,17.652991732049973,336.19560651614773
19135,-16.0,4501.0,5115.0,0.5222709879468573,0.1952694856978278,0.0753295677794374,0.0719459469357386,0.1138918264998458,0.0077517882291941,0.0135403969110988,2671.416103348175,998.8034193443891,385.31073919182234,368.0035185763029,582.5566925467112,39.650396792327825,69.25913020027036,3.247384693022376,66.93170180039101
461041,-18.0,3681.0,21189.0,0.5005451552443131,0.1072697291593439,0.0397289589739502,0.1789670409177202,0.1485919658380733,0.0105317299420099,0.0143654199245889,10606.05129447175,2272.938291157338,841.8169116990308,3792.1326300055734,3148.515164142935,223.1568257412478,304.3888827821142,16.138428658817247,323.8999185487242
386161,-5.0,4813.0,6366.0,0.5328942345893475,0.1101047896001791,0.0659734388437198,0.1316274584230785,0.1393017562447814,0.0102879690017335,0.0098103532971599,3392.404697395786,700.9270905947401,419.9869116791202,837.9404003213177,886.7949802542784,65.49321066503546,62.452709089719924,4.031451617383163,82.79697090393059
553360,2.0,4477.0,13464.0,0.5232381094149904,0.0795458871918025,0.119052406377331,0.0501623836384418,0.2062668009016075,0.0072037729884099,0.014530639487417,7044.87790516343,1071.0058251504288,1602.9215994643846,675.3863333079804,2777.1762073392433,96.9915995159509,195.6405300585825,7.984288506577206,199.0187318802801
502949,-21.0,4694.0,22109.0,0.4448983955413403,0.1096286856942422,0.0544014359773473,0.1965299580488179,0.1796439214515314,0.0094732630798418,0.0054243402068787,9836.258627023493,2423.780612014001,1202.7613480231714,4345.080842501315,3971.747459371908,209.44437343222236,119.92673763388117,23.470293244063484,194.27334668128347
41054,-21.0,4633.0,26059.0,0.4834131200548908,0.0249054447937833,0.1163360274527604,0.2008690831566552,0.1420878893595185,0.0155847616238192,0.0168036735585725,12597.262495510398,649.010985881199,3031.600539391483,5234.447437979277,3702.6683088196924,406.12330315510457,437.88692926284074,25.86465559246366,254.1830016021534
261585,-9.0,4054.0,16688.0,0.484765712976532,0.0737177272290648,0.0728121315963479,0.2364180548496736,0.0982435946848088,0.0174837785728149,0.0165590000907579,8089.7702181523655,1230.2014319986336,1215.0888520798537,3945.344499331353,1639.4891081000892,291.76929682313505,276.3365935145678,13.271800034510594,230.05714531603297
469084,-20.0,4085.0,10485.0,0.5404784593741355,0.1309718191622526,0.0203506274839412,0.2239689779604608,0.067472511606196,0.0100894728114528,0.006668131601561,5666.916646537811,1373.2395239162183,213.37632916912347,2348.3147339154316,707.449284190965,105.7881224280826,69.91535984236708,7.120741939216571,151.47661401005792
74799,-19.0,3685.0,16779.0,0.5087871107932986,0.0674540779358071,0.1227353421531655,0.1682522276340105,0.1062149857202735,0.0142772765371528,0.0122789792262916,8536.938932000758,1131.8119736849073,2059.376305987964,2823.104127471062,1782.1812454004692,239.55842301688682,206.02899243794675,13.018172836599035,254.2541642762584
127420,4.0,4633.0,8668.0,0.5503088101746649,0.1692276489195629,0.1259913466095417,0.1221143742349812,0.0211692197416778,0.0049672960397595,0.0062213042798119,4770.076766593996,1466.8652608347713,1092.0929924115073,1058.487395868817,183.49479672086315,43.056522072635346,53.926265497409545,1.890758211163898,143.43113451537226
426771,-3.0,3790.0,17404.0,0.4317164053547516,0.1084803355157833,0.0888988175164702,0.2146004975453763,0.1397295457613389,0.0049667885143829,0.0116076097918966,7513.592318794096,1887.9917593166927,1547.1950200566475,3734.9070592797293,2431.8530144303422,86.44198730432,202.01884081816843,14.312011787117246,248.251883343866
324710,-1.0,3793.0,15073.0,0.3896279100869681,0.157324577212865,0.0980677986360732,0.0719312890677145,0.2677254814642695,0.0084369338117767,0.0068860097203326,5872.86148874087,2371.353352329514,1478.1759288415315,1084.2203201176605,4035.426182110934,127.16990334491021,103.79282451457328,13.222715868222798,200.83565030458675
495386,-6.0,4404.0,7880.999999999999,0.5498932720830338,0.1503127593154482,0.0248082471708458,0.1290475013103363,0.1262114967503317,0.0043219708026051,0.0154047525673988,4333.708877286389,1184.6148561650473,195.51379595343573,1017.0233578267602,994.672805889364,34.06145189533079,121.40485498366994,4.0309231790121896,121.8011011787128
394571,-6.0,4863.0,15852.0,0.5659092477514007,0.1798703107079554,0.0746277779037336,0.0523230619816862,0.1037825187658118,0.0090992836484368,0.0143877992409754,8970.793395355204,2851.304165342509,1182.9995353299848,829.4251785336896,1645.1604874756486,144.24184439502017,228.07539356794206,6.448630980944939,227.57335214897964
66055,-5.0,4567.0,7678.0,0.376930500268088,0.1302501302294574,0.0921020014357586,0.1671702115795656,0.2184525329725643,0.0049272593689193,0.0101673641456465,2894.0723810583795,1000.0604999017738,707.1591670237545,1283.5328845079048,1677.278548163349,37.83149743456239,78.06502191027383,8.413299803675818,69.0964609571065
504705,-13.0,4859.0,15750.0,0.4784531869945804,0.1568237245163452,0.0811084600309505,0.0632886023389067,0.2051090287122688,0.0080054614861374,0.0072115359208108,7535.637695164642,2469.9736611324365,1277.4582454874703,996.7954868377805,3230.4672022182335,126.08601840666404,113.5816907527701,13.34720047029374,165.0215958190947
367864,-25.0,4090.0,5045.0,0.4954394278008738,0.1099947809832943,0.0801489813701909,0.1400968768245564,0.1563933198717589,0.0045640001243246,0.0133626130250009,2499.4919132554082,554.9236700607197,404.3516110126131,706.7887435798871,789.0042987530236,23.025380627217604,67.41438271112953,4.407338678412848,60.91447153074972
580030,-18.0,4175.0,6645.0,0.5752482997821049,0.1884912471868957,0.1159634405231914,0.041585483536989,0.0625619492401337,0.0045256494324807,0.0116239302982042,3822.524952052087,1252.5243375569219,770.5770622766069,276.3355381032919,415.7241527006884,30.07294047883425,77.24101683156691,2.8125026702004328,107.64444217221148
398215,-6.0,4082.0,18805.0,0.4691792320079802,0.1248591800187046,0.028256033403217,0.2485194016065225,0.1039413513821827,0.0127885947393974,0.0124562068419954,8822.915457910067,2347.9768802517397,531.3547081474957,4673.407347210656,1954.6171127419457,240.4895240743681,234.23896966372348,14.343972623063031,261.5170071864796
427730,-16.0,4141.0,7747.000000000001,0.4835277325179772,0.2022393484819543,0.0486522522781398,0.0571961569499215,0.1846875944739812,0.0085214123462982,0.0151755029517277,3745.8893438167697,1566.7482326897002,376.9089983987491,443.09862789104193,1430.7747943899326,66.01538144677215,117.5646213670345,5.629877437639383,103.94268369677891
436872,-6.0,4614.0,12738.0,0.6101123213425151,0.2034901199078542,0.0740769881940612,0.0877628964972186,0.0091493568082656,0.005929226079852,0.0094790911702332,7771.610749260958,2592.057147386247,943.5926756159515,1117.9237755815707,116.5445070236872,75.52648180515477,120.7446633264305,1.7126287162196558,220.39218651536223
66156,8.0,3801.0,25745.0,0.4686668049747559,0.1481772911721649,0.0440063699905283,0.1320897919165667,0.1908329844116712,0.0106958099028137,0.0055309476314994,12065.82689407509,3814.8243612273855,1132.943995406151,3400.6516928920096,4912.995183678475,275.3636259479387,142.39424677295204,14.06136788310666,456.6341061313382
408032,-22.0,4730.0,23622.0,0.6207047614211945,0.1909306163458725,0.0806205280840639,0.0555214059175886,0.0334514214856581,0.0049735809478532,0.0137976857977691,14662.287874291456,4510.1630193222,1904.4181144017575,1311.5266505852778,790.1894783342157,117.48592915018828,325.9289339149017,8.773215960970344,336.9128913844233
372415,-19.0,3654.0,19509.0,0.4255321125731558,0.139272624318597,0.0503031981812426,0.1129142764391293,0.2482806050528647,0.0083334967948128,0.0153636866401975,8301.705984189697,2717.0696278315086,981.3650933178618,2202.8446190509735,4843.706323976337,162.5781889700029,299.73016266361304,18.4095391629076,247.9139872271655
362753,4.0,3593.0,15849.0,0.4296638291131364,0.0950951314757655,0.0475522278158386,0.1655903894178514,0.2443775161287588,0.005485741370456,0.0122351646781928,6809.742027614098,1507.1627387594074,753.6552586532259,2624.442081883527,3873.1392531246984,86.94351498035714,193.9151249846777,12.380573104996046,252.9472329103025
88527,-6.0,4742.0,23124.0,0.4489231120711616,0.145429533538586,0.0870875539142807,0.1083755155277965,0.1967962248766939,0.0090029915489427,0.0043850685225383,10380.89804353354,3362.9125335462627,2013.812596713827,2506.0754210647665,4550.7159040486695,208.185176577751,101.40032451517564,20.023582790335244,249.00023627026007
