,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","1 actual vapour flow, m3/h","1 mass flow, kg/h"
510934,-11.0,4663.0,15142.0,18.849005828463387,109.60636824639695,0.3554638762904611,0.0913361958600651,0.0413189838350265,0.1955646122790361,0.2937935089362188,0.0118892717168833,0.0106335510823085,5382.434014790162,1383.0126777131056,625.6520532299713,2961.2393591291648,4448.621312312225,180.02735233704695,161.01323048831532,109.60636824639695,5481.617347992678
455278,3.0,4733.0,22924.0,19.4857875946278,257.1657179332988,0.4366668738530673,0.1103616421084527,0.0816591034428034,0.175756563069288,0.1692135230808115,0.0134238217490319,0.0129184726965448,10010.151416207715,2529.9302836941697,1871.9532873228252,4029.043451800358,3879.050803104523,307.7276897748073,296.143068095593,257.1657179332988,13269.693922751983
244225,2.0,4739.0,19567.0,15.002991645016731,247.56617761730573,0.5084701478624831,0.0315978152340916,0.0511413204602073,0.1089644260257163,0.2832820422276832,0.011494026368934,0.0050502218208844,9949.235383225207,618.2744506854704,1000.6822174448762,2132.1069240451907,5542.979720269078,224.90361396093158,98.81769036924506,247.56617761730573,11814.968255114249
615585,-5.0,4050.0,18367.0,16.696375341146453,230.74221999212207,0.4380034859966797,0.0681703069404734,0.0733664157997676,0.1718860415999726,0.2319435751616869,0.0098886505982995,0.0067415239031198,8044.810027301016,1252.0840275756748,1347.5209589943315,3157.0309260666963,4260.107644994703,181.62484553896692,123.82156952860137,230.742219992122,9639.30388922194
117018,-16.0,4894.0,6397.0,5.850799412224911,61.66798169170577,0.4627409004894976,0.1885061744149736,0.0461726049605063,0.2087981180541951,0.0652063836660793,0.0147860116679859,0.013789806746762,2960.1535404313163,1205.873997732586,295.36615393235877,1335.681561192686,417.12523631190925,94.5861166401058,88.2133937590365,61.66798169170577,3590.7202806278065
342753,0.0,4340.0,12272.0,5.269831754614241,207.8055285311135,0.5715167336666934,0.1012366484849238,0.0379648283217023,0.2201913852231824,0.0529432750987844,0.0120058754275136,0.0041412537771998,7013.653355557662,1242.376150206985,465.90437316393064,2702.1886794588945,649.7198720122822,147.3361032464469,50.82146635379595,207.8055285311135,9598.204255704866
344422,-25.0,4501.0,9462.0,5.390798908011615,125.5803077099422,0.5726403900818361,0.1983443211568674,0.071826291147668,0.1193519933085872,0.0204156516690562,0.0099988315712088,0.0074225210647762,5418.323370954333,1876.7339667862793,679.6203668392346,1129.3085606858522,193.17289609260976,94.60894432677767,70.2318943149124,125.5803077099422,6895.485304426904
153100,-14.0,4761.0,15566.0,10.7209802544277,190.7509574937759,0.5331983609403841,0.1438058296630149,0.0498220090522152,0.0613357119185696,0.2036338823045563,0.0031455127075602,0.0050586934136994,8299.76568639802,2238.48154453449,775.5293929067818,954.7516917244544,3169.7650119527234,48.96305080588208,78.74362167764485,190.7509574937759,10204.69756696011
527239,10.0,4030.0,20552.0,1.0525246709813931,435.6250958480539,0.5376897810690527,0.2323912674520129,0.0973161621133898,0.0883591561362044,0.0155860010167639,0.0132721722624548,0.0153854599501211,11050.600380531172,4776.10532867377,2000.0417637543871,1815.9573769112728,320.32349289653166,272.76968433797106,316.20197289488885,435.6250958480539,20024.12668052406
599739,-14.0,4329.0,7000.0,6.643987532335715,75.6308111751906,0.4366409723479635,0.145253191027513,0.0434340757878982,0.3467041487022187,0.0096304491583573,0.0130204661683173,0.0053166968077318,3056.4868064357447,1016.772337192591,304.0385305152874,2426.929040915531,67.4131441085011,91.1432631782211,37.2168776541226,75.6308111751906,3686.512096587688
