,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h","1 actual vapour flow, m3/h"
198835,-10.0,4195.0,22438.0,0.6179126364523994,0.1067585694826146,0.0403418345548295,0.0542710410792486,0.1606651898038085,0.0144067848894958,0.0056439437376035,13864.723736718937,2395.448782050906,905.1900837412644,1217.7336197361801,3605.005528817855,323.2594393505068,126.63880958434734,9.326267832769403,399.0896577939668,399.0896577939668
311872,-22.0,4493.0,25573.0,0.4391599487436265,0.033328861736082,0.0905616503205375,0.1443751697247107,0.2779291692774474,0.0060896730614033,0.0085555271361922,11230.637369220762,852.318981176825,2315.933083647106,3692.106215370027,7107.482645932162,155.7312091992666,218.79049545384314,28.005232250618395,227.0161303207153,227.01613032071543
205801,-14.0,3725.0,10137.0,0.4054511789912141,0.1121933469958255,0.0503104453673017,0.1884505845133772,0.2192531902754636,0.0127238256307584,0.0116174282260594,4110.058601433937,1137.3039584966832,509.9969846883373,1910.3235752121047,2222.569589822375,128.98142041899789,117.76586992756413,10.077835923802654,122.1300037054473,122.1300037054473
243899,-10.0,4863.0,12522.0,0.6275546112645634,0.129691494577746,0.1152739555468177,0.0419402261895067,0.0582257817321279,0.0194794814913361,0.0078344491979018,7858.238842254862,1623.9968951025355,1443.4604713572512,525.1755123450029,729.1032388497056,243.92206723451065,98.10297285612633,3.8580765988969614,191.74408321629173,191.74408321629173
281668,-12.0,3759.0,29177.0,0.4454392384192845,0.1550395647209939,0.0361281021887338,0.1691169872155208,0.170988048264303,0.0113014395252952,0.0119866196658685,12996.580659359464,4523.589379864439,1054.1096375606862,4934.32633598725,4988.918284207569,329.74210102953805,349.7336019910452,23.94455846180346,410.5939682984562,410.5939682984562
8373,-21.0,4495.0,17427.0,0.5213644572280915,0.100098736964873,0.0616315244277249,0.1024350481363992,0.196434972650709,0.0079569951214155,0.0100782654707862,9085.818396113951,1744.4206890868418,1074.0525762019618,1785.1355838730287,3423.2722683839056,138.66655398090793,175.6339323593911,14.190930180075904,204.17865426332835,204.17865426332835
461631,-21.0,4285.0,6511.0,0.5746259762190892,0.0548983061757189,0.0952004657376903,0.2149548332864412,0.0326445836990684,0.013498319290918,0.0141775155910737,3741.3897311624896,357.44287151010576,619.8502324181015,1399.5709195280185,212.54888446463434,87.8875569031671,92.30980401348086,4.442081503025907,90.8376678911829,90.8376678911829
360289,-3.0,3934.0,21610.0,0.5424976935262172,0.1381175966814296,0.0670171891605979,0.0540838022348825,0.1590954424406545,0.0246580647125974,0.0145302112436203,11723.375157101555,2984.7212642856935,1448.2414577605207,1168.750966295811,3438.0525111425436,532.8607784392299,313.9978649746347,10.2537759492564,390.9350162344412,390.9350162344411
172386,-22.0,3990.0,28257.0,0.4244775552144225,0.1823958505251868,0.1061375576850891,0.0415725410084562,0.2295027108845233,0.0057654444886955,0.0101483401936264,11994.462277693936,5153.959548290204,2999.1289675075627,1174.7152912759468,6485.058101463975,162.91416491706875,286.7616488513012,28.002727988482448,308.7060195115142,308.7060195115142
315722,1.0,4421.0,21447.0,0.542773293404268,0.1597775633401925,0.1007146395578349,0.0344767810985512,0.1412732821802104,0.0063136340431291,0.0146708063758136,11640.858823641336,3426.7494009571083,2160.026874596885,739.4235242206275,3029.8880829189725,135.40850932298983,314.6447843420743,8.351859052099908,353.1750483212897,353.1750483212897
592997,-12.0,4478.0,5920.0,0.5361566771237687,0.1691683712310437,0.0592568778395192,0.1499470320495969,0.0747186145628359,0.0064857352102001,0.0042666919830352,3174.0475285727107,1001.4767576877787,350.80071680995366,887.6864297336136,442.33419821198856,38.39555244438459,25.258816539568382,3.398843019890571,83.01018455791719,83.01018455791719
484628,6.0,4567.0,16547.0,0.4363249085479034,0.1616856417399748,0.0621229814253923,0.0439600548891913,0.2802806295381405,0.0042243518161933,0.0114014320432041,7219.868261742157,2675.412313871363,1027.9489736459664,727.4070282514484,4637.803576967611,69.90034950255054,188.65949601889824,12.258177147536111,208.4486882405352,208.4486882405352
477029,-24.0,4425.0,21160.0,0.5541063624427696,0.1765308079263618,0.027746211352115,0.0430530012452652,0.185875714643748,0.0065643611853478,0.0061235412043927,11724.890629289004,3735.3918957218157,587.1098322107534,911.0015063498116,3933.1301218617077,138.90188268195945,129.57413188494954,13.953133245029145,275.8247012654891,275.8247012654891
558040,-7.0,4172.0,9688.0,0.5207199009363824,0.1085407090305661,0.0574577433215672,0.1017509773312981,0.190351049547474,0.005536916170643,0.015642703662069,5044.734400271673,1051.5423890881243,556.650617299343,985.7634683856161,1844.1209680159282,53.64164386118939,151.5465130781245,6.290638731039998,145.80284019063117,145.80284019063117
