,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h","2 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,2 Methane mass frac,2 Ethane mass frac,2 Propane mass frac,2 i-Butane mass frac,2 n-Butane mass frac,2 i-Pentane mass frac,2 n-Pentane mass frac
159703,45.0,3511.0,14465.0,0.6420855349981929,0.0835958611468955,0.0888782389891112,0.1360358669279203,0.0217793362500096,0.0196487172125712,0.0079764444752989,14465.0,0.0,0.6420855349981929,0.0835958611468955,0.0888782389891112,0.1360358669279203,0.0217793362500096,0.0196487172125712,0.0079764444752989,0.0992787950374873,0.04726691990968,0.1321931985947692,0.4074461689451538,0.0842822229837403,0.1530868879432787,0.0764458065858903
328712,10.0,3549.0,18423.0,0.7182257866871312,0.1018706715446802,0.078540242893281,0.0646472774236965,0.0177286199094248,0.0065809147567236,0.0124064867850627,18423.0,0.0,0.7182257866871312,0.1018706715446802,0.078540242893281,0.0646472774236965,0.0177286199094248,0.0065809147567236,0.0124064867850627,0.0845595189904812,0.0595725303479181,0.1490550016002731,0.2823357042165075,0.1074681923298355,0.0909908965535559,0.2260181559614283
246649,-17.0,4064.0,15378.0,0.6262543797483681,0.1282759025308427,0.0712634248035251,0.1144025904279235,0.0280938131814939,0.0188320151399486,0.0128778741678979,12434.247311402738,2943.7526885972484,0.7479770030674584,0.1323726327918969,0.0518399639541576,0.0524313911929912,0.0101542637710883,0.0034302809970357,0.0017944642253715,0.1121048020324833,0.1109715422048643,0.1533070410284559,0.3761654825540761,0.1038694701815408,0.0838880818738393,0.05969358012474
229081,29.0,4898.0,11023.0,0.6485004545899534,0.0974235455783313,0.1456422639518864,0.0591255731156144,0.0247055182081696,0.0155123068225608,0.0090903377334837,11023.0,0.0,0.6485004545899534,0.0974235455783313,0.1456422639518864,0.0591255731156144,0.0247055182081696,0.0155123068225608,0.0090903377334837,0.1120797285177911,0.0639708226073185,0.2550725102415968,0.2077062888638207,0.1138694740286376,0.1427773700593677,0.1045238056814673
595717,-6.0,4804.0,21444.0,0.558437771291191,0.1263218808060497,0.0821803760759516,0.1746165351259719,0.0394465805529605,0.0064623102979304,0.0125345458499447,16135.587109255315,5308.412890744635,0.7018710256358135,0.1331486941050707,0.0609437132559944,0.0848817966848243,0.0155818221524721,0.0014030934907516,0.002169854675073,0.1224543959443408,0.1055709251188927,0.1467318776064262,0.4473765330093012,0.1119865083878482,0.0218404346407392,0.0440393252924512
479257,-19.0,4013.0,14936.0,0.6824348536770509,0.0272160377599386,0.1499730793760831,0.0845993529460326,0.0311002122239207,0.0191113784814322,0.0055650855355418,12174.560855069476,2761.439144930516,0.8107133306904662,0.0280178228431594,0.1083112658000078,0.0380008440665898,0.0109178619464593,0.0033093197121934,0.0007295549411242,0.11688405105933,0.0236811486039424,0.333650596096173,0.2900416431191678,0.1200796315612476,0.088779082900941,0.026883846659198
478092,49.0,4584.0,24993.0,0.705105461732235,0.1253200948127348,0.0402330688643385,0.0750147112586466,0.029105801390874,0.0157391171255431,0.0094817448156279,24993.000000000004,0.0,0.705105461732235,0.1253200948127348,0.0402330688643385,0.0750147112586466,0.029105801390874,0.0157391171255431,0.0094817448156279,0.162028374243304,0.0972774232665491,0.0773840285475656,0.2781660460432656,0.1373043714286071,0.1431747708433233,0.1046649856273851
322787,-8.0,4542.0,10225.0,0.6595924172890877,0.0635538311665202,0.085767912812377,0.1436052715504929,0.0140777842892934,0.0185179336237742,0.0148848492684543,8598.687603588029,1626.31239641196,0.7630635803597542,0.0664063253903505,0.070517116210525,0.0844850351699868,0.0069228542126094,0.0052346516033544,0.0033704370534195,0.1125165853717415,0.0484720382859703,0.1664023813034894,0.4561875557462014,0.0519075448510744,0.0887497001010765,0.0757641943404462
74070,27.0,4551.0,12811.0,0.6134661044320232,0.1472727409185573,0.1240270437942374,0.0535949110518816,0.0307150423525724,0.0094550444596417,0.0214691129910861,12811.0,0.0,0.6134661044320232,0.1472727409185573,0.1240270437942374,0.0535949110518816,0.0307150423525724,0.0094550444596417,0.0214691129910861,0.090009275825329,0.085451222830149,0.1975122637148523,0.1745642603173058,0.1324051659202266,0.0829464944271042,0.2371113169650328
229934,-21.0,4772.0,17933.0,0.5879197041122142,0.1705331853247354,0.0770553185716462,0.1412597353049136,0.004858068053946,0.0123359738849763,0.0060380147475682,13481.715822665416,4451.284177334589,0.7297155350433705,0.1671832768195962,0.0475634675900437,0.0517070594543684,0.0013851451085006,0.0017754169908303,0.0006700989932899,0.1584591212120117,0.1806791370768562,0.1663780259473953,0.4124901665417844,0.0153765967210026,0.0443209969263989,0.0222959555745506
