,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h"
508562,48.0,4628.0,16556.0,0.598574005566321,0.1292398988935147,0.1437376894284701,0.0894463859552732,0.0123309844413285,0.0068603990632708,0.0198106366518214,16556.0
291070,-17.0,3705.0,24382.0,0.7217192966777581,0.068379749187066,0.0863048190763657,0.0836359660711055,0.014195159578102,0.0085903574453786,0.0171746519642236,22004.87000088098
461808,-1.0,3509.0,6287.0,0.5871386810637902,0.1164801946455908,0.1332141077539441,0.1355201182028223,0.0050990366594622,0.0090437021107085,0.0135041595636815,5619.611691306556
404853,45.0,3692.0,10070.0,0.7608896837382052,0.1118071281504225,0.0405439584352069,0.0386619152392926,0.0290390270839497,0.0070218377696692,0.0120364495832537,10070.0
562731,45.0,4643.0,6685.0,0.652961623531141,0.0591679380591025,0.1455081975940065,0.0776689342561055,0.0296959277145483,0.0100801887450895,0.0249171901000067,6685.0
564240,39.0,4777.0,4306.0,0.6643195275719602,0.0301405138751032,0.1186862735222481,0.1363861925727122,0.0254077011118451,0.0157562191551988,0.009303572190932,4306.0
437026,49.0,4737.0,11773.0,0.639633284805784,0.106614552821708,0.1465716609986647,0.0706466384490829,0.0050671528995662,0.0135272165357842,0.01793949348941,11773.0
307489,38.0,4490.0,14638.999999999998,0.6771935488220989,0.0577426313098763,0.0924607799180443,0.1110149923989208,0.0241066693438707,0.0158524445729526,0.021628933634236,14638.999999999998
26032,9.0,4496.0,9870.0,0.7088501895768282,0.1257046200927054,0.0320739496245734,0.0735614062135394,0.0282548060471868,0.0130445458718883,0.0185104825732782,9870.0
322897,8.0,4066.0,19010.0,0.7374225629003748,0.0557727652414575,0.0523000059100259,0.1255549631887159,0.0084166622231694,0.0148012631600676,0.0057317773761885,19010.0
403702,14.0,4009.0,24673.0,0.7350951544995638,0.1131282465278319,0.0442079808324856,0.0465411272425528,0.032239356177969,0.0196206824588842,0.0091674522607127,24673.0
433543,-7.0,4886.0,2038.0,0.6415971267454704,0.0859144867919454,0.1120147665866738,0.1114153654224686,0.0194462978377871,0.0162494788801627,0.0133624777354918,1730.0714711227286
509301,21.0,4735.0,20204.0,0.7347012333996313,0.0294018548583024,0.1000450843580672,0.078838866692461,0.0209503626981885,0.0233558831205981,0.0127067148727512,20204.0
304784,35.0,4254.0,16180.0,0.6308615376208456,0.0621582745707201,0.1233649150044992,0.1310471512689002,0.0274103446823493,0.0177889865705879,0.0073687902820972,16180.0
355916,42.0,3684.0,6993.0,0.6689650811313488,0.0858722816299616,0.0748208748616788,0.1274403969151875,0.0199411131567289,0.0163992897752832,0.0065609625298109,6993.0
32072,39.0,4267.0,11468.0,0.6161213612333858,0.1760657651289759,0.0970986819802764,0.065164074610581,0.0103771685026826,0.0271255305829982,0.0080474179611,11468.0
124851,49.0,4843.0,19319.0,0.6977291406959176,0.1418872788161569,0.0309280334522892,0.0891744888087013,0.0151901877399978,0.0097680713223744,0.0153227991645627,19319.0
55094,-18.0,3621.0,18902.0,0.5753037770422958,0.0938259083514243,0.17752195019845,0.07211195014106,0.0344223930527408,0.0258036425435853,0.0210103786704435,13915.81669083122
166396,-23.0,4046.0,7279.0,0.7517013753808434,0.1340353205137704,0.0299752145292129,0.0465342057200319,0.0073180168870408,0.0113512880238048,0.0190845789452957,6857.905854363699
305856,37.0,4465.0,16694.0,0.5667902814922353,0.1337785223564481,0.1228266115262516,0.13271529348685,0.0214565563227426,0.0080534068640567,0.0143793279514154,16694.0
446584,37.0,4268.0,12763.0,0.7315706722103122,0.053817082198595,0.1366101135490234,0.0529310676442866,0.0088505087560302,0.0110019000390431,0.005218655602709,12763.0
75298,1.0,4487.0,12588.0,0.6010411511447963,0.024431325683433,0.1795720775137863,0.160791787077305,0.0154177056761856,0.0119870312391988,0.0067589216652949,10317.562154590143
240260,22.0,4599.0,17334.0,0.7626525213273898,0.0683931481670291,0.0360303729828781,0.0941661583917845,0.0048492921002759,0.0147926580898752,0.0191158489407672,17334.0
37150,7.0,4521.0,21459.0,0.6813336599373713,0.0541426621093387,0.0725424461999137,0.1313574725517301,0.0318419336033577,0.0057914026062455,0.0229904229920428,20190.895945414715
153417,48.0,4369.0,23613.0,0.6908855752113603,0.0891425946393158,0.0512388126001175,0.1445939657856348,0.0038885286776391,0.0097155596288305,0.0105349634571019,23613.0
170365,2.0,4284.0,13326.0,0.6296206286052575,0.0980513113798984,0.0387028832904961,0.1683421643283709,0.031742217124894,0.0151644107961672,0.0183763844749154,11611.574733146334
405568,32.0,4301.0,21099.0,0.5664427722840526,0.0703586367638229,0.1251917693150271,0.1621220695612688,0.0359130469879235,0.017969743646224,0.0220019614416808,21099.0
502236,-21.0,3944.0,10716.0,0.6683531165301864,0.0898914893565891,0.0734692195081214,0.1257645857314993,0.0099094635889686,0.0175805629026282,0.0150315623820069,8771.609858757824
40804,34.0,4534.0,22779.0,0.6451874796491559,0.0816320876638278,0.1336408391453405,0.0866886177734643,0.0148847302005452,0.0222331586668753,0.0157330869007909,22779.0
185258,40.0,4728.0,21937.0,0.5349872830967032,0.152646139367346,0.0906433207503655,0.1493764890179626,0.0317184806955892,0.0189021486369094,0.021726138435124,21937.0
516273,7.0,3646.0,19854.0,0.6909894141271646,0.0625187800049583,0.1126238149068637,0.102538734904992,0.0096543363956233,0.0150384214006376,0.0066364982597602,19854.0
26387,1.0,4833.0,17075.0,0.8115828736965504,0.0666451199845696,0.0319055796466575,0.0686389095839662,0.0055400332285377,0.0074625269480699,0.0082249569116485,17075.0
385025,-15.0,3529.0,13740.0,0.7783509835846242,0.0375632258525921,0.0619297934415334,0.0569406720024256,0.0287765175839867,0.0185244537572667,0.0179143537775711,12759.30116162485
507921,43.0,3900.0,4273.0,0.5451152300848051,0.1232362004459991,0.1399585001375764,0.1249907287591248,0.0353661534706135,0.0091454132162415,0.0221877738856395,4273.0
233984,31.0,4312.0,15248.999999999998,0.7612843511896493,0.0494030158588692,0.0659501704239578,0.0680796766146039,0.0172551396497087,0.0135086390719851,0.0245190071912256,15248.999999999998
167929,17.0,3833.0,7908.0,0.5957150728599361,0.1750159248630862,0.0936808521112918,0.0714481152471998,0.0362150828080633,0.0070719916720043,0.0208529604384182,7908.0
553138,16.0,4797.0,23983.0,0.6383134666763214,0.0596643113939418,0.1301944908025829,0.132115439909313,0.0065835838530064,0.0155284827482885,0.0176002246165457,23543.47367930894
233325,9.0,4447.0,24084.0,0.5933105481881695,0.111095288209414,0.1518409669604995,0.1048459399838981,0.0106785824992988,0.0141246067433271,0.0141040674153926,22742.079956733163
561032,0.0,3773.0,21030.0,0.5835636593359042,0.1428119515934797,0.1141098936260952,0.1144056087139353,0.0201106226811866,0.0096195366770725,0.0153787273723263,18875.1672213798
578213,-1.0,4626.0,8774.0,0.6635384954988586,0.0233916078327897,0.183000677571114,0.0935146529542117,0.0229615113669177,0.0077274228497916,0.0058656319263164,7954.125036256203
267270,10.0,4435.0,6617.0,0.5994102184085497,0.1564011983776317,0.0736079557081311,0.1092065043648996,0.0240050804428071,0.0134561528460163,0.0239128898519641,6268.242304039353
397691,0.0,4741.0,19503.0,0.5847741190264957,0.135825646861225,0.1462855768419088,0.0821514144279895,0.0248895995287288,0.0184580675197972,0.0076155757938547,17161.87086563331
369190,17.0,4242.0,15980.0,0.6942162311786717,0.0755190956019325,0.1270904191844206,0.0529989811417446,0.0134265333308553,0.0203453364862769,0.0164034030760981,15980.0
507680,-24.0,3841.0,2050.0,0.694741304101615,0.1213435880700869,0.0820004287092666,0.0548611618162044,0.0308565028355477,0.009822236864825,0.0063747776024542,1809.2536784618128
184183,50.0,4447.0,23641.0,0.6450592160737357,0.0278727709221732,0.1228132276513267,0.1529757414838391,0.0138689084233353,0.0268256855086379,0.0105844499369519,23641.0
327270,-13.0,4740.0,23554.0,0.6461296955359234,0.0682606179373158,0.1251035373460992,0.1063583217408128,0.0217310266239469,0.0120230608404786,0.020393739975423,19029.59710898999
404186,48.0,3737.0,14720.999999999998,0.7082348325698895,0.0709679061564471,0.0778595064048284,0.1178193893941918,0.0052142641822705,0.0133129185473874,0.0065911827449852,14720.999999999998
470422,20.0,4100.0,21088.0,0.6625225941370777,0.1440197338531529,0.0903211996824626,0.0621558871075251,0.0278384526737302,0.0055177028550463,0.0076244296910048,21088.0
332159,-7.0,4696.0,23510.0,0.6444332642070335,0.1321549515563385,0.1331182694616654,0.0478250926901134,0.0116185822406236,0.0172256056340203,0.0136242342102049,21560.119548897528
420916,37.0,4458.0,15566.0,0.6394380545487798,0.1325698376917565,0.03532286412712,0.1275824580639244,0.0326336930377963,0.0118501109126753,0.0206029816179475,15566.0
296304,17.0,4355.0,24058.0,0.6461553765951615,0.0949968922171732,0.0465909869811254,0.1787676242312599,0.0049855164816164,0.0217231289616294,0.0067804745320342,24058.000000000004
111869,44.0,4599.0,13502.0,0.7311432833525541,0.0428216686067321,0.029623115339209,0.1552902914861467,0.0164202229584308,0.0104070713957685,0.0142943468611588,13502.000000000002
380626,-19.0,4488.0,17580.0,0.6265501819721873,0.161849229178865,0.0897894670326868,0.0743732330141692,0.0178005859104699,0.0142957528413369,0.0153415500502846,14607.535819983445
86499,31.0,4486.0,20601.0,0.5642822713877643,0.1226025371780328,0.1265196272458953,0.1262239565204287,0.0319623975575008,0.0070127041582122,0.0213965059521657,20601.0
418985,11.0,4626.0,19456.0,0.6853328335015414,0.117334997708983,0.0928859912085682,0.0494763084053281,0.0228500092585232,0.0168834533888012,0.0152364065282546,19456.0
489788,-21.0,3831.0,8732.0,0.5915466816680927,0.1665742908307063,0.0975344581942684,0.0651803578326128,0.0325213470876664,0.0211218527214322,0.025521011665221,6822.687574634097
401830,24.0,4116.0,10650.0,0.6684293986896754,0.0291437317314203,0.1355199792151878,0.1203689402318543,0.0247390919539518,0.0056990037232258,0.0160998544546843,10650.0
105285,-21.0,4829.0,18576.0,0.7330925632038252,0.0215724375847495,0.051684014487541,0.1496598668080735,0.0176805423049991,0.012640419875815,0.0136701557349964,15301.806947734129
592655,35.0,4109.0,14710.0,0.6234372410963622,0.0981292915471513,0.1219654475832293,0.1010022808762103,0.011359333616183,0.0164659488309518,0.027640456449912,14710.0
4536,45.0,4583.0,4000.0,0.7215424434224263,0.0432819379064198,0.0934011908126243,0.0869289921004434,0.0233180854303177,0.012701553893598,0.0188257964341702,4000.0
476278,1.0,3529.0,11144.0,0.6108879967937075,0.1039496492757084,0.1460618562341841,0.0827932919923722,0.0326449998335373,0.0161617429661955,0.0075004629042947,10334.745619223097
72273,48.0,3555.0,12189.0,0.6309303935050256,0.0982208520710318,0.1581352220028818,0.0557742184157763,0.0162049555803666,0.0249397997346818,0.0157945586902359,12189.0
137099,3.0,4690.0,2639.0,0.6657204190538458,0.0332327425013499,0.1326310441928165,0.1167317243261494,0.0171749686549784,0.0213916873696781,0.0131174139011814,2385.067840393796
283361,-21.0,3672.0,23003.0,0.6684161999252727,0.137442128385149,0.0943109193171393,0.0412668309791695,0.0244085180471111,0.0141225460171052,0.0200328573290532,20182.99480329959
339159,-25.0,3597.0,24977.0,0.673497276073377,0.1079834600348636,0.0428617007657579,0.1084052560740705,0.0228646444636641,0.0166491490775106,0.0277385135107559,20359.79641359964
26087,38.0,4732.0,14457.0,0.7085273958844128,0.0852343853334897,0.1139537986269952,0.0465747677865296,0.0270694641278143,0.0058288818393686,0.0128113064013894,14457.0
459169,43.0,4728.0,8981.0,0.7302946170353138,0.0689432326953065,0.0906740962864517,0.0628078430108388,0.0128237483323936,0.0142549691086019,0.0202014935310934,8981.0
413317,13.0,4347.0,15522.0,0.643424544120993,0.0889002937885258,0.1426866525693428,0.0646067085821419,0.0303967101996025,0.0192260918746631,0.0107589988647306,15522.0
340571,41.0,4169.0,3941.0,0.7538967520833065,0.0454230939302295,0.0552854784350314,0.0927100864447234,0.0149862332753647,0.0098786616553616,0.0278196941759826,3941.0
502217,-16.0,4078.0,1427.0,0.7239330294294153,0.0203371636477055,0.1308799199058104,0.0738009930830115,0.0261600191711715,0.0101117155125515,0.0147771592503339,1248.2120536079178
556391,7.0,3657.0,23942.0,0.6884211750547878,0.0252158576213455,0.1462375024695449,0.0803853549830317,0.0154503810453275,0.0216878827889277,0.0226018460370346,23043.77804803696
482061,20.0,4638.0,23662.0,0.6425824150622421,0.0370928166081949,0.1755997700540138,0.0927962024410651,0.0233479486538624,0.0209239453010243,0.0076569018795972,23662.0
100977,32.0,4734.0,10396.0,0.6432760817265677,0.1321795270548249,0.0477479056613424,0.1330953040200807,0.0099612322049917,0.0237932975693941,0.0099466517627982,10396.0
137771,42.0,3741.0,16456.0,0.6678048241894528,0.086205210380238,0.0892336840743315,0.0834003078232463,0.0336768766548774,0.0169426389615185,0.0227364579163354,16456.0
348189,13.0,4060.0,16293.999999999998,0.641092128124293,0.1330566099839446,0.0354094677794918,0.124965189405093,0.0316259925206926,0.0168389163647678,0.0170116958217167,16079.451764649708
590061,19.0,4770.0,1934.0,0.7386525843950016,0.1017009969682425,0.0654005060608331,0.0556855912776569,0.0149274471483675,0.0046751917672369,0.0189576823826613,1934.0
594791,25.0,4630.0,1470.0,0.5934106815084487,0.133337521728846,0.1258362375686078,0.0985914324738414,0.0188559539460204,0.0063642449896809,0.0236039277845547,1470.0
195464,23.0,4353.0,20105.0,0.6856393445722642,0.0616630925385159,0.096814175518129,0.101239963784563,0.0208900539268857,0.0130002514351574,0.0207531182244846,20105.0
268324,-16.0,4175.0,23409.0,0.6819240316458118,0.0425736288393926,0.0959072994191708,0.135124844761696,0.0279630083746712,0.0048031422846004,0.0117040446746566,19289.179787807287
407099,26.0,4152.0,2274.0,0.7133942032313113,0.0567937468497502,0.1234975406793641,0.0618445657208178,0.0185178931045764,0.0188363967894486,0.0071156536247313,2274.0
488927,21.0,3661.0,13039.0,0.6783238481471254,0.1234575356995097,0.0470842486593269,0.090643730376942,0.0249992644027934,0.0213239091798808,0.0141674635344214,13039.0
213337,20.0,4758.0,17423.0,0.7073098545948162,0.1054409571054175,0.0483610955796164,0.1099268921024695,0.0064089927194239,0.005172203974443,0.0173800039238132,17423.0
453147,-1.0,4627.0,4040.0,0.6466296794941605,0.0799274274354662,0.1198550116800691,0.1259752748158187,0.0078161030821815,0.0082308218986797,0.011565681593624,3667.707643863616
368001,-23.0,4768.0,12374.0,0.692885336627443,0.1305884445506148,0.0454126334219707,0.0763030544229657,0.020093225628177,0.01970956022332,0.0150077451255084,10601.158475377772
147466,35.0,4755.0,7864.0,0.6589551950437567,0.1138123497939902,0.0945824422481573,0.0925131376982969,0.0213239569535378,0.0077717983551924,0.0110411199070685,7864.0
179117,0.0,4553.0,9661.0,0.6383471490372898,0.1273585506501693,0.0453941854862471,0.1300079263825795,0.0282676692574672,0.0122637407876548,0.0183607783985921,8691.95687291365
2325,-2.0,3924.0,22899.0,0.541542020157836,0.0850650668107426,0.1862933178159573,0.131797525354141,0.0405124141929055,0.0080862565984294,0.0067033990699878,17870.165647064445
581458,24.0,4315.0,24782.0,0.6425010449593833,0.1309750229943282,0.120672930921532,0.0593440630079156,0.0170372861399648,0.0129212571681928,0.0165483948086832,24782.0
